,pd10,pd15,pd20,pd25,pd30,pd35,pd40,pd45,pd50,pd55,pd60,pd65,pd70,pd75,pd80,pd85,pd90,pd95,pd100,pd105,pd110,pd115,pd120,pd125,pd130,pd135,pd140,pd145,pd150,pd155,pd160,pd165,pd170,pd175,pd180,pd185,pd190,pd195,pd200,pd205,pd210,pd215,pd220,pd225,pd230,pd235,pd240,pd245,pd250,pd255,pd260,pd265,pd270,pd275,pd280,pd285,pd290,pd295,pd300,pd305,pd310,pd315,pd320,pd325
0.5,245.755488865,335.32930285,438.67148822,553.345203235,619.7761938350001,719.14364184,767.541432835,836.7126156050001,904.8720912050001,972.876743965,1020.82259346,1109.50648183,1164.3255254849998,1208.13551859,1281.9376731950001,1319.757634995,1375.3125924350002,1409.035109085,1466.24488138,1511.0086890599998,1552.4464640150002,1597.0550264600001,1661.936973845,1678.4445411899999,1755.736347675,1776.11307963,1827.16784113,1867.072913475,1896.066274565,1943.250653195,1986.773835685,2009.092310525,2042.544227375,2088.78388933,2105.21891059,2163.7863222849996,2189.020886265,2239.645975465,2256.913027595,2296.725713935,2335.0494311549996,2377.2234385350002,2408.3336128150004,2417.782835515,2458.3280679599998,2510.863651205,2536.763677075,2553.8757377750003,2592.9293582449995,2634.32856354,2655.402480795,2694.4293310400003,2729.9904735150003,2753.16354932,2793.279729005,2819.06333254,2856.27354991,2881.5862031399997,2920.814745835,2965.17889035,2988.6584204500004,3026.37971623,3059.4041475699996,3093.355117495
1,263.13146944,359.12286522,459.64573537,564.49603588,637.52903793,726.95268177,785.09532562,855.9871400000001,941.61491811,981.04660004,1051.50294813,1117.35818885,1177.1987583300001,1227.55488883,1293.97898326,1342.4174636100001,1383.2561483000002,1432.4018746499999,1479.4954987200001,1535.2899641499998,1565.73054711,1625.4302339,1672.8066231399998,1713.02702763,1764.13540693,1788.37940206,1835.5633154999998,1873.2150417100002,1910.8343893200001,1947.7711913100002,2000.98194603,2034.70429201,2066.67358282,2103.19622551,2129.45253476,2178.97524753,2205.33483717,2243.30932626,2275.61036772,2302.23291039,2344.26568725,2383.22211099,2420.7319932299997,2445.24705026,2466.38918496,2516.40616743,2543.91223221,2566.134771,2606.05770203,2641.74331625,2668.20778656,2704.11477513,2740.79644798,2765.27273353,2799.13645526,2829.65702217,2867.3300143899996,2890.50023184,2931.50424154,2969.4151482800003,2997.02838781,3031.8773558400003,3067.1609386799996,3097.3228318799997
1.5,268.17104839,368.08915612,470.81919065,571.62798797,650.249913135,734.52060785,797.6021143549999,861.37479713,949.083653645,995.880953955,1061.707048615,1128.4380933749999,1185.4122030249998,1243.6152367450002,1301.3602340749999,1351.4942657000001,1391.2395756100002,1442.79890455,1486.06066106,1551.259592475,1578.88811968,1639.86983404,1681.1711786499998,1720.00582972,1768.756466845,1801.311357105,1846.6801682550001,1884.6120321150001,1920.56677199,1957.2241099550001,2004.84195895,2042.947441325,2073.5710373750003,2112.538341095,2137.783801345,2184.19573354,2207.8280805900004,2249.909513005,2287.854057515,2309.69648664,2349.1553418949998,2392.075336935,2427.5366193,2455.857346195,2475.16577391,2522.570719005,2547.5792033099997,2574.599541305,2610.1400882750004,2649.7257619149996,2677.60260527,2711.51083426,2745.3724802949996,2772.057413635,2807.1207974749996,2836.5663001149996,2875.6620088199998,2894.46747109,2935.39982985,2974.862788475,3001.876631145,3035.33834622,3069.32629997,3102.4728306
2,274.57212058,371.15444354,477.64866273999996,582.32971936,656.3930759,737.98149474,804.26743302,873.65220574,955.68263698,1005.16147654,1070.6672213000002,1139.5955933999999,1191.95355846,1249.1674252999999,1316.87088716,1361.8286625800001,1403.50304966,1453.31136442,1495.41410132,1556.95128208,1587.2486827799999,1643.85551656,1683.97798026,1724.34340274,1772.53699034,1805.7231108,1850.14035644,1886.62395636,1927.63849714,1968.5807987599999,2009.61488256,2051.16351578,2079.7405557800002,2114.7604509,2147.4160901,2193.8826315799997,2211.82184134,2255.13153886,2296.53667986,2319.27588832,2354.79880002,2396.43255128,2430.50035346,2458.99717494,2483.7920543600003,2528.7307200200003,2552.2449967,2582.20067118,2613.9535160600003,2652.12508432,2681.58636852,2715.20457862,2748.61335154,2777.9210032,2817.0172147400003,2839.60281562,2877.80888708,2903.82942268,2938.44490802,2976.8878968999998,3004.83928086,3037.8829283200002,3072.8321101,3104.04394714
2.5,277.0613911,377.864185525,487.39534405,586.4972341,660.358882825,741.995337225,808.940242025,885.37152555,958.25502325,1009.937253025,1080.0530067,1144.05985555,1196.342403675,1258.32072585,1321.017625725,1368.365036075,1413.648725625,1463.879443325,1503.490769925,1560.7702528,1597.191665025,1649.721596875,1692.4135840749998,1731.72226825,1775.9439866750001,1814.241223475,1864.125956825,1892.7794475750002,1934.3597650000002,1973.17217415,2013.4461720250001,2056.074919925,2082.975682625,2117.9367790250003,2151.836068975,2197.8071855,2217.2103472500003,2265.642668425,2300.5101611749997,2322.0010235249997,2358.206774175,2399.8068514750003,2434.2599782750003,2461.3864652,2488.7967393249996,2534.5986135750004,2558.1506911,2586.9199390500003,2621.099162925,2657.7219823749997,2687.458799975,2719.1981752750003,2754.5628451499997,2779.401093225,2820.650090425,2841.214404325,2879.86754905,2907.312769475,2941.0873113000002,2978.843589575,3007.2299576,3039.7004213249998,3076.535411375,3106.206457075
5,289.46637864999997,402.45437155,505.20505944999996,605.60619615,679.6855165,766.3057728499999,834.6614963,909.81045,984.72434055,1046.74841425,1108.71406855,1167.32495545,1222.1900724999998,1280.7416529,1341.34010105,1388.7200521,1432.7613024,1487.1665424,1527.13781705,1580.34608955,1618.8115414000001,1667.22104875,1713.8083875,1756.1607409,1790.24163285,1833.9367204,1879.8957059000002,1915.4001676,1957.8504519,1993.5405005,2035.8951275499999,2072.0556045499998,2101.9597336,2137.2039405,2175.9098000500003,2217.60997365,2236.4498261500003,2279.7743627,2319.89567155,2342.20536835,2379.0213777,2415.4051056,2450.13928815,2476.1414571,2509.6626447,2549.598125,2577.9829914,2607.50285545,2640.19516515,2672.43422895,2703.5826878999997,2734.3122819,2767.59136235,2797.21832365,2831.648629,2859.2328506500003,2891.6703708,2921.18586045,2951.7970799,2986.547853,3018.9117591,3050.7028541,3084.46996725,3121.57926145
10,308.8068061,425.2982241,530.5511836000001,623.9852968,706.4166834,793.2229930999999,867.4058365000001,936.8582522,1010.9514469,1073.7846094000001,1140.9201266999999,1193.357078,1254.8529950999998,1303.9139965000002,1373.5376654000002,1416.2109308,1458.9901251,1511.6184151,1550.8211396,1605.1408843,1648.7786928,1700.0709368999999,1742.1141832,1783.6775553,1817.918003,1863.5082633000002,1900.9424921,1938.6061124999999,1981.9812651999998,2013.7947305,2054.8024049,2088.7798561,2121.9333995,2160.1370779000003,2199.2394951,2236.6188363,2261.9737828,2299.2388645,2341.0850992,2364.5273139,2401.055006,2435.185793,2469.6754277,2500.7731870000002,2528.1295014,2567.5228535,2597.2308816,2627.7904590999997,2659.3266671,2692.08417,2719.1684245,2749.6174756,2782.2286683,2811.6029399,2845.3067483,2877.6708524,2906.03096,2937.7194264,2965.0300159999997,2997.7657605,3029.6891385,3064.1615455,3095.059183,3133.0765705
25,338.2136715,467.75408475,565.86651575,667.8012665,752.8963595,835.6718262500001,913.278701,983.94065725,1060.3518565,1121.1395309999998,1185.026829,1237.3034225,1298.0366825,1351.1834362499999,1411.799923,1455.42346,1509.322015,1555.99524325,1598.28440475,1651.71034075,1691.38960025,1733.585348,1780.33802875,1817.1516915,1859.955111,1902.84587,1938.04674775,1977.4934355,2016.5787745,2049.186511,2090.3439485,2120.91983075,2158.53861625,2194.413104,2234.12499925,2264.5293485,2300.48321325,2333.9859579999998,2369.89300125,2398.592292,2431.95829425,2466.06322175,2499.6909502500002,2532.8419962499997,2560.84265625,2592.4060685,2627.62359625,2658.4875169999996,2689.69088125,2720.2862292500004,2747.30625,2778.2500849999997,2810.44595275,2839.16566425,2871.62798275,2899.6087785,2928.5428352500003,2957.665817,2987.9277112500004,3018.996684,3051.2554155000003,3082.3546755,3111.0957117499997,3141.314884
75,421.96075974999997,547.9562999999999,661.92207425,762.0932695,852.94340575,938.7270125,1016.1262350000001,1084.5048952500001,1158.18157675,1218.38727375,1279.56638275,1336.2822475,1395.3172502500001,1449.20158975,1506.35977275,1545.5188237500001,1598.54857075,1647.30143925,1690.1790635,1737.14793,1774.6129005,1823.2599065,1862.31725375,1901.833561,1941.94827825,1981.9543265,2019.22893875,2055.64051725,2093.9340275,2130.271625,2167.50699625,2203.3742005000004,2234.66007,2271.5553755,2306.491598,2338.18455,2371.6804875,2407.58969925,2441.07838825,2469.2693947499997,2502.249409,2533.672911,2563.19340225,2596.79653625,2626.55218325,2655.39011225,2686.726612,2715.68619125,2748.03191375,2777.93034725,2803.687476,2834.91923625,2861.19620525,2889.06962425,2920.40325975,2944.12736175,2972.9152645,2998.3942435,3027.0045149999996,3053.68507375,3078.90624975,3105.206666,3129.36872375,3152.7452285
90,452.5639996,589.2740454,701.6355396,804.6870887,897.2300191,983.0886298,1054.7876754000001,1124.5875958,1199.8572321,1265.9697026000001,1321.0725957,1382.4005894,1437.5722855000001,1492.7649748000001,1545.0479073000001,1590.0510139,1634.9012916000001,1682.9355969,1730.6910152,1775.4112393999999,1810.058982,1860.5539271,1897.3976009,1941.8495876,1978.0201933,2017.3072816000001,2055.1705978,2091.1563358,2129.3731411999997,2158.1322771,2200.576648,2237.8562266000004,2268.7088612,2303.3493416,2339.1877372000004,2368.6911913,2401.1435938,2436.1635055,2472.526304,2497.1629995000003,2526.7676745000003,2562.2414825,2590.6443449999997,2622.9976506000003,2651.3872816000003,2680.9729417,2714.0411036,2739.5452914999996,2770.8944849,2802.0439764,2829.4171677,2852.737566,2881.6940737,2910.6196945,2937.0609472,2961.2104103,2986.404617,3013.5026882,3039.0376798999996,3066.0180493,3089.3513161,3113.6435167,3136.4987612,3157.3243008
