"Allenichthys glauerti"
"Antennarius biocellatus"
"Antennarius commerson"
"Antennarius hispidus"
"Antennarius indicus"
"Antennarius maculatus"
"Antennarius multiocellatus"
"Antennarius pardalis"
"Antennarius pauciradiatus"
"Antennarius pictus"
"Antennarius randalli"
"Antennarius striatus"
"Antennatus analis"
"Antennatus bermudensis"
"Antennatus coccineus"
"Antennatus dorehensis"
"Antennatus duescus"
"Antennatus flagellatus"
"Antennatus linearis"
"Antennatus nummifer"
"Antennatus rosaceus"
"Antennatus sanguineus"
"Antennatus strigatus"
"Antennatus tuberosus"
"Echinophryne crassispina"
"Echinophryne mitchellii"
"Echinophryne reynoldsi"
"Fowlerichthys avalonis"
"Fowlerichthys ocellatus"
"Fowlerichthys radiosus"
"Fowlerichthys scriptissimus"
"Fowlerichthys senegalensis"
"Histiophryne bougainvilli"
"Histiophryne cryptacanthus"
"Histiophryne maggiewalker"
"Histiophryne pogonius"
"Histiophryne psychedelica"
"Histrio histrio"
"Kuiterichthys furcipilis"
"Lophiocharon hutchinsi"
"Lophiocharon lithinostomus"
"Lophiocharon trisignatus"
"Nudiantennarius subteres"
"Phyllophryne scortea"
"Rhycherus filamentosus"
"Rhycherus gloveri"
"Tathicarpus butleri"
