"Centrolophus niger"
"Hyperoglyphe antarctica"
"Hyperoglyphe bythites"
"Hyperoglyphe japonica"
"Hyperoglyphe macrophthalma"
"Hyperoglyphe perciformis"
"Hyperoglyphe pringlei"
"Icichthys australis"
"Icichthys lockingtoni"
"Psenopsis anomala"
"Psenopsis cyanea"
"Psenopsis humerosa"
"Psenopsis intermedia"
"Psenopsis obscura"
"Psenopsis shojimai"
"Schedophilus griseolineatus"
"Schedophilus haedrichi"
"Schedophilus huttoni"
"Schedophilus maculatus"
"Schedophilus medusophagus"
"Schedophilus ovalis"
"Schedophilus pemarco"
"Schedophilus velaini"
"Seriolella brama"
"Seriolella caerulea"
"Seriolella porosa"
"Seriolella punctata"
"Seriolella tinro"
"Seriolella violacea"
"Tubbia stewarti"
"Tubbia tasmanica"
