"Lyconodes argenteus"
"Lyconus brachycolus"
"Lyconus pinnatus"
"Macruronus capensis"
"Macruronus maderensis"
"Macruronus magellanicus"
"Macruronus novaezelandiae"
"Merluccius albidus"
"Merluccius angustimanus"
"Merluccius australis"
"Merluccius bilinearis"
"Merluccius capensis"
"Merluccius gayi gayi"
"Merluccius gayi peruanus"
"Merluccius hernandezi"
"Merluccius hubbsi"
"Merluccius merluccius"
"Merluccius paradoxus"
"Merluccius patagonicus"
"Merluccius polli"
"Merluccius productus"
"Merluccius senegalensis"
"Merluccius tasmanicus"
