"Atrophacanthus japonicus"
"Bathyphylax bombifrons"
"Bathyphylax omen"
"Bathyphylax pruvosti"
"Halimochirurgus alcocki"
"Halimochirurgus centriscoides"
"Hollardia goslinei"
"Hollardia hollardi"
"Hollardia meadi"
"Johnsonina eriomma"
"Macrorhamphosodes platycheilus"
"Macrorhamphosodes uradoi"
"Mephisto fraserbrunneri"
"Parahollardia lineata"
"Parahollardia schmidti"
"Paratriacanthodes abei"
"Paratriacanthodes herrei"
"Paratriacanthodes retrospinis"
"Triacanthodes anomalus"
"Triacanthodes ethiops"
"Triacanthodes indicus"
"Triacanthodes intermedius"
"Tydemania navigatoris"
