"Diplospinus multistriatus"
"Epinnula magistralis"
"Gempylus serpens"
"Lepidocybium flavobrunneum"
"Nealotus tripes"
"Neoepinnula americana"
"Neoepinnula orientalis"
"Nesiarchus nasutus"
"Paradiplospinus antarcticus"
"Paradiplospinus gracilis"
"Promethichthys prometheus"
"Rexea alisae"
"Rexea antefurcata"
"Rexea bengalensis"
"Rexea brevilineata"
"Rexea nakamurai"
"Rexea prometheoides"
"Rexea solandri"
"Rexichthys johnpaxtoni"
"Ruvettus pretiosus"
"Thyrsites atun"
"Thyrsitoides marleyi"
"Thyrsitops lepidopoides"
"Tongaichthys robustus"
