"Corniger spinosus"
"Holocentrus adscensionis"
"Holocentrus rufus"
"Myripristis adusta"
"Myripristis amaena"
"Myripristis astakhovi"
"Myripristis aulacodes"
"Myripristis berndti"
"Myripristis botche"
"Myripristis chryseres"
"Myripristis clarionensis"
"Myripristis earlei"
"Myripristis formosa"
"Myripristis gildi"
"Myripristis greenfieldi"
"Myripristis hexagona"
"Myripristis jacobus"
"Myripristis kochiensis"
"Myripristis kuntee"
"Myripristis leiognathus"
"Myripristis murdjan"
"Myripristis pralinia"
"Myripristis randalli"
"Myripristis robusta"
"Myripristis seychellensis"
"Myripristis tiki"
"Myripristis trachyacron"
"Myripristis violacea"
"Myripristis vittata"
"Myripristis woodsi"
"Myripristis xanthacra"
"Neoniphon argenteus"
"Neoniphon aurolineatus"
"Neoniphon marianus"
"Neoniphon opercularis"
"Neoniphon sammara"
"Ostichthys acanthorhinus"
"Ostichthys archiepiscopus"
"Ostichthys brachygnathus"
"Ostichthys delta"
"Ostichthys hypsipterygion"
"Ostichthys japonicus"
"Ostichthys kaianus"
"Ostichthys ovaloculus"
"Ostichthys sandix"
"Ostichthys sheni"
"Ostichthys trachypoma"
"Plectrypops lima"
"Plectrypops retrospinis"
"Pristilepis oligolepis"
"Sargocentron bullisi"
"Sargocentron caudimaculatum"
"Sargocentron cornutum"
"Sargocentron coruscum"
"Sargocentron diadema"
"Sargocentron dorsomaculatum"
"Sargocentron ensifer"
"Sargocentron hastatum"
"Sargocentron hormion"
"Sargocentron inaequalis"
"Sargocentron iota"
"Sargocentron ittodai"
"Sargocentron lepros"
"Sargocentron macrosquamis"
"Sargocentron marisrubri"
"Sargocentron megalops"
"Sargocentron melanospilos"
"Sargocentron microstoma"
"Sargocentron poco"
"Sargocentron praslin"
"Sargocentron punctatissimum"
"Sargocentron rubrum"
"Sargocentron seychellense"
"Sargocentron shimizui"
"Sargocentron spiniferum"
"Sargocentron spinosissimum"
"Sargocentron suborbitale"
"Sargocentron tiere"
"Sargocentron tiereoides"
"Sargocentron vexillarium"
"Sargocentron violaceum"
"Sargocentron wilhelmi"
"Sargocentron xantherythrum"
