,mntd5,mntd10,mntd15,mntd20,mntd25,mntd30,mntd35,mntd40,mntd45,mntd50,mntd55,mntd60,mntd65,mntd70,mntd75,mntd80,mntd85,mntd90
0.5,23.394704186073,35.416334029927555,37.998449574493705,32.7410788645897,33.160202097312826,29.93476243660945,29.342129188848173,28.06614314267285,27.024364408249525,25.5973386976835,25.98356549896828,23.949196050381293,22.231343103164953,22.333953716991815,21.772558440899758,21.315738149876964,20.92059282739529,21.661659467602068
1,29.462573766332397,41.707322797064805,42.839572090842566,39.38522261620065,36.26459281018364,33.9653558395043,31.87346448902764,29.07855572903835,27.314261670249813,27.684426904658178,27.276525709986636,25.086840568038532,23.122339552752862,23.21525909001507,22.0879265053738,22.046601073255886,21.35749837872828,22.013627109401423
1.5,34.3186273450888,44.43580216878265,47.5752889723256,40.9966484842869,37.25445126230656,36.71996087748005,32.84900614816211,30.9188184850474,29.5456885632279,28.86939627665831,28.071743283856428,25.761654978291524,24.614340774992154,24.21795076032057,22.7715357205794,22.806821855581138,21.850276561394807,22.1298651644627
2,40.1269485215492,47.5570202971388,49.78610827879984,41.8800326593009,38.51809156867768,38.68694541526703,34.63477476361203,32.1191941130708,29.95651047241962,29.73742843253844,28.341576328618327,26.396614294777468,25.0834723164045,24.61421775050336,23.12822797759664,23.1625338505738,22.235332510474635,22.224526656664246
2.5,42.7742235495655,50.965281494402255,52.39817626423233,43.91766098402013,39.371479289894,40.168385945162385,35.87556336798744,32.93228515774544,31.00658466083589,30.14593366337995,28.802830349161283,26.75824203184145,25.28154042704834,24.858710022063036,23.5949555103254,23.453513653069955,22.452181220059632,22.312553037146273
5,58.642153746542,61.933391804144,57.691632297819304,51.370557181710254,45.868083559671405,43.474596402872834,38.90770574041927,35.7545915370925,34.05911491758121,31.851955387333497,30.630658830943016,28.635474678255637,27.35880245834033,26.160192373346813,25.1369659086258,24.26066087654156,23.150107818505305,22.676484819820065
10,89.869431009436,73.445771383623,66.3458082149193,57.3149299502205,51.7273282183224,46.73533396958036,42.7889892389169,39.598674761000744,37.3651159884269,34.5020529077658,32.969489819300904,30.72460953887514,29.09033134213739,27.38722013092175,26.20883966668963,25.1809860736268,24.14235929666388,24.032187639870372
25,122.084244245395,98.3895696807875,83.82334058906,71.4375919192575,62.165772806565,55.25890731124165,49.90227242134998,45.986577543925,42.28845482633498,39.1471569101525,37.20957842785455,34.50364152342875,32.188185587483105,30.12323500335675,28.5278362713457,26.949773501729048,25.685167215761474,24.739202619460574
75,227.170439106115,152.21293979532498,122.946497369523,101.38980420513874,87.049503961629,75.3884524967558,66.44407853029715,60.09519425244438,54.06473189089998,49.288777768855,46.30155146477137,42.62414246540497,39.913227283960396,36.71706732609105,33.66500801808203,31.5305538391597,29.1817628294509,25.9918962107203
90,267.96229658033405,178.378976702044,140.0713851018477,116.1389169188005,97.3913705370288,84.6504586036667,74.70772718533574,66.385770328538,59.76289596269359,53.8110014833052,50.02584997121273,46.24560761098817,43.07907608157692,39.511162832424,36.494397120621336,33.86213994221138,30.89264339388643,28.10606738827391
97.5,324.083199829542,208.68248584376997,157.43761919376828,128.8131131148935,109.2985160073322,94.49033797690319,82.19332951754231,73.029969760288,64.90947760992141,58.38568242108389,54.014535192058595,49.15486778664215,46.148161874408565,43.071124537374,39.64881210280476,36.266969078259656,33.24326431949446,28.93820718028441
98,324.5011598593328,211.0680809939112,160.47882167749407,130.81655028091558,110.3561193748323,96.54950468980917,82.8228703556463,74.17654138409775,65.84782680439896,59.29471916780316,54.33176165290647,49.5742765397089,46.37721245534951,43.50844468610875,39.910509342757805,36.59908765820692,33.626472768964355,29.0620123918558
98.5,327.9644566451206,216.4445949309631,161.8078234984219,132.11749070462204,113.1126531377162,98.0436852637248,84.54880626466235,74.95397916814095,66.19199323964531,60.34123431661002,54.6806307430972,50.366334704356845,47.007446640314626,44.349825249160894,40.319498925020675,36.91657813946911,33.7339750156723,29.802457703073365
99,364.90255973415816,221.45196021228588,168.10219223315232,134.68176066185615,114.83706222521111,99.82221242702524,85.96488317504902,75.81371806221617,68.0018272882597,61.390342461466375,56.12645595810728,51.85654667868152,47.27290433660409,44.90503403903177,40.9253012012095,37.72595362533855,33.92364554659684,30.155961319120312
99.5,372.8943998583842,234.44213224245638,172.94486348834442,140.08331709164267,119.51688088585472,101.84601724595437,87.23039296160324,77.20542985042721,69.14661005030035,62.07937581189669,57.81796344251572,52.88259548996213,48.76853948915983,46.39422553421889,41.802306236749395,38.142756018025466,34.73691117134989,30.45984141292105
Median,177.30036680655002,126.968814332355,103.046222831987,87.86199392314,74.158434405474,65.56870154030165,58.13586235142715,52.8446864022625,48.09256281727445,44.235384003977,41.4704044754382,38.705144263514995,35.96858805866615,33.375272508775694,31.159128737196,29.11110706978065,27.0316224003953,25.0539781623911
Mean,176.9497275341607,126.45140270569519,103.40309966570283,86.87900846842362,74.55548319455751,65.54354959276593,58.364657118151555,52.96483871070894,48.23538408894687,44.20943500503209,41.592370155017704,38.468357464246544,35.973243471278494,33.48892526846658,31.255859537514137,29.35313329770622,27.379549670195292,25.418687467278684
