,mpd5,mpd10,mpd15,mpd20,mpd25,mpd30,mpd35,mpd40,mpd45,mpd50,mpd55,mpd60,mpd65,mpd70,mpd75,mpd80,mpd85,mpd90
0.5,60.613695688952696,171.88994831482248,199.08673168662796,223.0610474279416,230.21709610037485,242.6922425773032,238.56378521785757,253.05268180513556,255.75558122160945,260.2790065504358,263.96332756198603,269.8085113493562,268.6512999695523,274.97165877958605,278.66616298728513,279.96436085977024,283.17789825348945,288.0452941615638
1,67.84941897911719,180.84679496487777,213.61385123127047,227.66786533212414,234.61884654428863,244.64981975588546,249.50032349984704,257.62682399837627,260.0623022848886,263.556324244463,268.7875594980539,272.60078294400347,271.55500597495427,277.54676388463326,279.7640573124946,282.35426295609483,284.6896267996629,288.20055516408
1.5,72.04851529055601,190.62654113006676,215.5624833565695,232.3560648126832,242.05729458012195,248.65753889092284,254.88932057725276,259.1348641906967,262.2291529639477,266.97948982019545,269.42668125349184,273.24487144353174,273.8548944379467,278.38683652789894,280.6806458529076,283.3641247596764,285.3608529098465,288.7452100809265
2,137.90028226247202,203.84087205441938,219.26428158359812,237.0796104799199,245.61263275651447,250.7728738776169,258.6936212585704,260.21550768395304,263.70769406949125,270.4205153098584,270.74410794861615,274.3034154964964,274.8080475198124,279.41848157575635,281.1737559834859,283.9168307295062,285.8540994288133,288.85860201299903
2.5,168.60295154155202,208.0666685041618,224.3525653156781,240.23709215714783,247.74604998854628,253.09865575576464,260.9378007323637,263.50456911461475,265.40829859357507,271.503475401183,273.0025415179137,274.90712788030845,275.27550628060715,280.0552817247045,282.1143634973595,284.31171723327253,286.035999915657,288.9955770537733
5,179.429706697688,222.45717901343156,235.274357226396,249.09147173877932,255.27330662751694,260.99296687226706,267.5436656456686,268.2493500996455,271.70901028557114,275.32224104276094,275.6428640070074,278.4881315415511,278.73781814893186,282.3920649969675,284.21629010488465,285.5351448308458,287.50223776962946,290.054480174509
10,203.489799368832,237.33568469813198,254.184291944275,260.6001170219485,267.3901563434713,270.1620935638987,273.6294451521391,274.8679090970739,277.72403287338506,278.79686542326203,279.8470236850625,281.8860814664141,281.5921562595562,285.4672023892702,286.003815958312,287.2656989285499,289.141117188117,290.97599803710204
25,263.67018509714,271.25428042206073,274.4986235640505,277.0216720490295,282.85333701091645,283.50664693205675,284.208634521592,285.06948455839347,285.70404307056776,286.604746369278,286.9851026820435,288.172965275329,288.6410373287095,289.91383589740997,290.1757008938755,290.839218913898,291.5796341223918,292.47773622789674
75,337.6201999106,322.3788115338755,314.355347510972,310.0213292596337,309.08726355288576,306.58155814342047,306.2799358866082,304.1292576022372,303.109231330467,302.54988501186676,301.3487960791663,301.25402988460473,300.00649800714024,299.228242177085,297.98620448731424,298.0584378208292,296.65518483060924,295.8100183295445
90,366.124783492572,339.8190973585245,328.41154874777527,322.4247208979336,320.09755714756625,314.7914710985938,314.79960372482077,311.67143062533694,309.7402597640744,309.22005410552754,307.5518928078842,305.87183340507073,304.8494259108856,303.016773576876,301.81638074858216,300.6325815215512,298.86871412325786,296.6380591011682
97.5,388.708819808638,357.72676209583017,341.8989928962082,334.1246602970359,330.64231477851143,325.73844148229404,324.6141670204307,318.6202402101057,316.54505916033156,315.24338096645175,312.28271726044204,311.46691345503825,309.39267043583254,307.78298446554425,305.4969865121859,303.24270967631594,301.1733394292961,298.11655464529076
98,389.7992001964608,360.1255387318934,344.91299033121817,335.35555238021635,332.9621386431032,326.4368234975757,325.9919850692449,319.1706260394105,319.0979271534758,316.61275648671955,313.04074928457607,311.9898656960241,309.66941258284174,307.88826337372745,306.2336519990281,303.5620990323172,301.5261965361007,298.1303237277817
98.5,391.681939849434,361.245293224441,348.3429586062042,336.1787809790263,335.29735425360485,328.115545212005,327.04357859124565,320.1021134727288,319.85066191018416,317.31358902614676,313.94081634839455,312.6658157911456,310.21201452987816,308.48940261812766,306.6165760011952,304.0474315681947,301.7740113073734,298.2082243492309
99,396.48188465881316,366.65275439956207,349.1867390774072,339.546306007859,337.3136826871737,329.8323263619375,329.81445107357735,321.1226333430767,321.7463838935764,318.08407982957414,316.0717487187918,313.5256543784516,311.63154788988834,310.0081147435476,307.5433043297435,304.244478902439,302.3294569883926,298.2157912775131
99.5,400.9116198590016,371.11984565199947,352.81235560258165,342.97924233550305,341.49259858835586,333.2371502201593,331.10807161996007,325.6081325429616,323.20874777791715,318.7224340665261,318.74846375638924,315.49437748058494,312.8550113047288,310.74719871354233,308.18741259995073,304.9036037646717,303.0185002257598,298.2192264580679
Median,301.90435990284004,298.9231807632875,296.15735062353247,295.283253195921,296.1987157210675,295.690276413957,295.8009912640215,293.5933419295875,294.1443112998285,294.4273703627175,294.262229096824,294.71252240165745,294.053104465088,294.90186698239097,294.24954832861954,294.2882756772335,294.080316511113,294.121487840812
Mean,293.4816051102853,293.8630505935562,293.084395712915,292.86489472778453,294.69433137253435,294.0158820807376,294.685365300057,293.5465536994623,293.8468417571493,294.27053421086225,293.9434251208456,294.4637198590331,293.7748753059185,294.4994634179109,294.0927265244691,294.1735245278576,294.04360786827164,294.04958245837304
