,mpd2,mpd4,mpd6,mpd8,mpd10,mpd12,mpd14,mpd16,mpd18,mpd20,mpd22,mpd24
0.5,3.15721719999999,39.59124953625762,47.23630535981533,85.51705907518011,117.25672252014445,149.6650613489397,167.27650913443526,171.65381809592878,190.25845320661546,197.71386799363293,222.03675193476732,246.554980618554
1,8.75599373900002,42.2100939081238,60.69964546986507,123.85979940727385,121.57921013645766,153.89001116859322,172.83097488650014,180.3162523900009,193.60126567371702,200.13485071541115,222.66937297484657,246.554980618554
1.5,9.15663805820003,44.8404042569003,84.58157007276289,126.28591352444492,135.32512518375498,161.44529138010054,177.22179399785736,188.06645179343235,202.64550082059336,210.07949555115667,222.675736410186,246.554980618554
2,9.15663805820003,48.100112694606665,89.36467567041183,128.25860362917885,138.22278384498674,164.17921544204506,179.44759964191962,195.41847549578898,204.43849377630062,213.5346795439718,222.7875823280487,246.554980618554
2.5,12.905076,49.1058060882,97.80079383162231,132.15269898021026,142.26432550112574,166.84604580519306,180.8809272884774,196.55840035469103,205.7864929539536,215.37408328403856,222.789864897801,246.554980618554
5,32.7659953299,53.0406989678117,151.23931210780535,150.26039496504632,166.86237090538947,188.58440901971662,186.1745531643151,202.23239535672326,210.0452394153656,219.96188912667733,225.58103119160225,246.554980618554
10,55.2737994864,72.2868332238717,154.136750881078,186.77318502500378,183.6803853316886,199.71217043651788,204.01832363361498,213.0276884397051,215.5448463445538,224.31249743930508,229.295119487389,246.554980618554
25,58.3101998349,205.258332503483,221.87544367341852,213.297811682179,222.27137752664498,225.229350005595,225.3356048622635,230.10154259601876,232.69203561357125,237.6761576166735,240.88900416185,246.554980618554
75,360.7212000074,314.9965333116705,292.901663094723,281.815162562478,277.8931876458948,272.38545155986276,270.105105407922,264.86544012273805,259.15545391569725,258.660669774073,258.75316767603,246.554980618554
90,376.67379981718,336.31803324979,318.3611768097536,305.503860338414,296.85856584704595,291.65701791953154,285.2053207096842,276.743644666862,272.8934102664726,266.895289092986,259.0603114597231,246.554980618554
97.5,407.4393997122,383.92989983275,341.37557407101053,326.2169832987704,315.5145523508622,305.3063757939184,295.03141468495045,290.171456870574,281.64702701823666,272.917790034891,259.343192482405,246.554980618554
98,407.439399714,383.929899836302,345.77919760094534,331.044153555145,317.74374400171934,308.14003552980824,295.943937464552,290.48593836454216,284.51534806141234,272.925480648294,259.343192482496,246.554980618554
98.5,407.439399715,389.2496891030385,348.5950443351498,334.3186496666734,319.0282796472123,309.18116416869486,296.9539556054732,291.01718692003084,285.4879166668686,273.029242018609,259.350711855565,246.554980618554
99,407.4393997164,389.3978331206,357.02875071531827,335.37215267132484,321.45480147415566,315.25838018851056,297.8152106111653,291.94456878758376,285.94721199545216,273.07291443761665,259.350711855656,246.554980618554
99.5,407.4393997242,389.397833122307,360.1246398088898,339.4567160903646,323.72587633350366,317.3004903542659,305.6393247159726,295.50205243561544,287.39344759767476,273.08203016908715,259.350711855656,246.554980618554
Median,360.7211999872,245.560433323575,251.25398522279698,254.7597833738485,255.315715195807,249.4058685897105,251.63078923190147,249.02190249343448,249.25404101126298,248.878805946003,245.158800534723,246.554980618554
Mean,250.8069220805001,246.83734448050004,247.6781980197251,247.0388693809228,246.3619705831052,246.98217201443023,246.86001647370142,246.67322150762269,246.31761331255024,247.15873944847158,246.3999727515546,246.55498061855403
