,pd2,pd4,pd6,pd8,pd10,pd12,pd14,pd16,pd18,pd20,pd22,pd24
0.5,205.298308476,243.87694473702,289.80571530384,356.62555638786,505.46656255631,640.7067032372951,707.0153271318001,804.2859172114449,871.8420251727,989.94058430755,1141.74303877995,1416.0793830502
1,205.298308476,252.31591309339998,297.24145537144,434.50725496235,523.31335538229,661.5516196577701,754.0398793402201,828.3476760586899,907.12025552671,1009.8306974228001,1144.5202831302,1416.0793830502
1.5,208.097696751,253.80483467869502,304.743216441985,470.151678146045,545.767996619205,676.7457500168,769.600558165185,845.84994423465,920.2622903010849,1013.1907273132499,1157.1891831802,1416.0793830502
2,208.296040684784,256.8991969538,325.0374610617,473.95825337298396,559.7722004955,687.38292372992,790.51900325084,872.99938480446,935.06271851318,1064.13569684502,1168.7218832202,1416.0793830502
2.5,208.298018905,260.453012171125,349.730987028375,485.798171853075,572.4391008676749,706.303790452075,802.6016992432,880.5682417081749,953.799290275725,1084.4283332809748,1184.1046831202,1416.0793830502
5,213.20744773004,276.881063538,442.262250623,524.7756829768999,607.75917794625,752.84135882795,835.3064162411,913.85591108425,994.53534589765,1119.5138532777,1204.7051291847,1416.0793830502
10,231.35659962,343.29722960450005,465.60676557970004,574.345734135,690.7546941553001,787.5635931682,875.8017933294001,977.323361279,1059.1095559002001,1135.2844317583001,1211.3731191502,1416.0793830502
25,232.874799799,429.6047638092,531.4157408277,672.95460406845,767.3662250527,866.97558625645,972.28776238545,1063.98722466445,1128.2332557267,1200.7176162502,1329.1567190802,1416.0793830502
75,384.0802999112,596.1514680487,709.9646139062,872.56727675195,980.7629547449501,1060.8560581679499,1158.53134083195,1245.66649453295,1309.1389628371999,1374.1135920417,1403.8587650212,1416.0793830502
90,392.056599784,647.2118998725,824.4627973958,933.286433508,1062.5274856491,1164.3151724882,1239.9620483498,1297.6070131553001,1360.0064954492,1388.4871059502,1408.0482364502,1416.0793830502
97.5,407.439399682,767.7093996362,882.0579737033249,1056.7925397788247,1154.683752767825,1230.303920968525,1281.754230034175,1341.8148965849748,1376.7496326597,1397.805756475175,1410.9912651812,1416.0793830502
98,407.439399684,767.70939965122,889.8387661125398,1083.2904610006399,1166.31038560952,1236.1292524838998,1287.42715239642,1345.4208984314,1378.79757637282,1398.6891469492,1410.9912651812,1416.0793830502
98.5,407.439399685,775.6856995345,906.3101851559497,1087.3543929060597,1175.12296937469,1247.5086150521001,1293.7577903808851,1351.916808031435,1380.8250636530151,1399.8680177992,1413.7906534502,1416.0793830502
99,407.4393996942,776.13689957222,922.8150512216499,1096.0725338539999,1183.0234990167698,1258.23817928015,1302.91822983645,1357.10088490141,1382.1706664862,1401.57102453149,1413.7906534502,1416.0793830502
99.5,407.4393997142,776.1368996062,985.201399449215,1126.2108145002,1190.326743620675,1272.330174665285,1317.551877135845,1361.73156808498,1385.771083484055,1401.6748952552,1413.7906534502,1416.0793830502
Median,384.0802998662,483.7886997932,642.8961739471999,745.0939057707,875.2468692192,977.4803593242,1060.5980082387,1129.4302869417002,1233.1465458257,1315.8445387107,1390.7758355502,1416.0793830502
Mean,325.76978639417314,502.3517110767736,637.389176612326,762.3618762047279,875.1495478466919,969.4930479130626,1059.118074615119,1137.876203528246,1214.4589784838538,1286.237206000702,1353.787083973859,1416.0793830502005
