,mntd2,mntd4,mntd6,mntd8,mntd10,mntd12,mntd14,mntd16,mntd18,mntd20,mntd22,mntd24,mntd26,mntd28,mntd30,mntd32,mntd34,mntd36,mntd38,mntd40
0.5,12.477734,17.81975089651925,25.629539804431616,26.8192519422195,37.85962632844665,45.37689227456883,35.75514128090582,45.81909981338688,44.568001915867534,43.04716153691843,45.26401926448244,44.96665877021425,40.971993839472624,42.51775253977232,44.31844170249575,46.25915972853613,43.93444507944193,49.65234596322144,48.11958790301644,55.360436377105
1,15.0915477852,22.33196192482775,31.7345672388435,36.97387006095087,46.2049394409663,48.01545613204095,41.61827949381342,48.664933895017576,45.97439503194013,47.5435630144943,49.84424326461953,49.14115169653938,45.704237892548,46.09680906681552,49.02058025640587,47.54425066845241,47.055935313999754,50.447911554327874,49.96238877933908,55.360436377105
1.5,15.397777479034,25.920571137131752,34.58605489830625,44.006063853510625,49.46445518042205,49.300577306920744,49.93941529732758,50.73358845440419,48.334432169903735,52.58898379670757,52.511856151631996,51.33804966623118,48.594030171097955,48.77883371230887,50.2834588366798,49.434392251440265,48.018885721673826,51.517500683222636,51.50207584263583,55.360436377105
2,16.702936698195998,28.7097740834865,37.016152856518964,50.72798071128275,50.672098134215396,51.283651557244795,50.4688480067121,54.18951139038605,51.042795439829355,55.010286281151004,53.70247846835386,53.01639833633609,50.86177202156173,49.230432548464485,53.03765828346527,50.6420770657706,51.323815536142384,52.43502031291609,52.999019277035316,55.360436377105
2.5,24.243713788400008,29.904283934121878,39.98849498520163,54.72443284116188,52.446226830376496,55.79126773856646,53.925666945108155,56.960084874891564,53.18493272584037,56.10452985967125,54.577256731941596,54.57802533079935,51.71532091225505,52.55842436931981,54.24480669383695,52.392215578055755,52.024502410174016,53.76621906747213,53.71537580398872,56.60319637718
5,26.4851312249,36.460501664329996,64.732503170515,63.527403163076876,62.080424228701496,64.64766504468288,65.41088565061531,63.72738029063464,60.36381357465111,61.62028615153725,59.04261344310316,60.07366694231729,56.89428601554117,57.831972448881075,57.52112299606003,56.95509651641016,56.481604008553376,56.613189689780995,57.361922614140795,56.71811638378
10,53.27866923461011,69.1512314654525,78.17852555422164,77.51310474927375,73.98348049489,76.31218873044335,74.17341591707283,74.10997515174442,69.48480539403559,68.6225567525715,67.02413802479595,66.55440668051546,64.01215247303574,62.68448548957032,62.3350622171697,63.06934881399839,60.44234561219382,59.82202313516532,58.87016969932951,61.8589313704325
25,166.4444000358,117.0145664800375,105.92709501871275,103.399354977478,97.321657648305,93.089709024825,91.29326145489281,89.43011104912188,83.351695084925,82.0640638512725,80.7771202538693,77.69056806698018,73.9783559316856,72.36510390570088,70.83118714808583,69.4966494308687,66.38945191585373,65.22251783653678,64.58532131425002,65.3579130907575
75,376.6737998119,224.41324969262502,181.23543174684974,163.49614534160924,150.74896744796,140.98402696277276,133.802045668852,127.0085730364235,115.9754287173985,111.02741300167,107.73535203916575,101.89205040753751,97.30786333911253,94.59344272430269,90.39570962946586,85.93974657167891,81.42121271085293,76.81162770653192,72.2868585064592,66.74092166128
90,407.4393998092,303.2441498591,218.3813666526564,188.51825752606248,171.50280943949198,161.686779281212,152.2634248541806,142.8476123401596,129.547133856347,123.1259301977475,119.23968875502182,112.5982542825535,106.7465347745552,103.2208562620924,98.63157694438164,92.46491594815627,87.3754168248812,82.63887125132226,77.9574814430632,68.16440597513
97.5,426.3841998187,371.9495498748669,266.14365828132156,223.7784239796225,200.69495361069175,183.81967532055924,173.45372046871915,159.7027031599739,146.97042561060533,135.21918035356998,133.27078817738715,122.32361562882289,116.17557534213302,112.09881006028755,106.87345500417075,101.16955449276149,94.5501065763088,87.50088650115266,80.18306694976529,74.38190405878
98,426.3841998189,376.388899837758,269.1298810514409,228.0666867941075,204.09099336742938,189.07440190787918,175.84572230845114,162.60727349515375,148.28569569265912,136.365815564266,134.5808295103432,123.27580571456367,117.71009853692307,113.62916328590329,107.70738715724127,101.70501224264062,95.8814050679571,90.38241238865989,80.38186961685224,74.38190405878
98.5,426.384199821,376.3933526505544,278.8059265147607,235.6062662509016,207.2640706225798,191.45048596643485,179.4408851054529,165.11687633111956,149.51798389715893,138.92262511608914,137.00838168905597,126.48536471084735,119.05877262592149,115.75448746094374,108.8446324313954,102.41040249375793,96.27797273273687,91.14406950434686,80.9751231633101,74.38190405878
99,426.3841998222,381.125099896274,284.5968341502471,247.00577424307014,212.7385191884446,194.38683452472682,181.65408683912227,167.66210878318518,151.2699387919076,141.4886524826722,139.59666312462323,130.58900153924438,119.76812376667861,116.77344058698286,109.13635962961833,103.58789078590335,98.10119704181635,91.87908176591247,86.3584251629526,74.38190405878
99.5,426.38419982300104,388.8164998712539,307.0703320884553,254.6429612464966,218.45385740267628,204.431202693815,188.08656161854162,171.64705779829978,163.5003050635823,144.39800963490708,141.95112352377257,133.95978558716178,120.65669319247043,117.24947407426136,110.49025166285783,104.60366129550202,99.26142952757017,93.36120427594331,86.89013393442391,74.38190405878
Median,360.7211999894,162.53319993972502,146.04098937495849,132.7824713564435,125.255743159635,117.64391588270851,113.11699535866799,108.3194344574345,99.59104931705,96.5884670594125,94.5048849727886,89.5861818160646,85.71962322927695,84.36863262832856,80.85144065150665,77.64942701894685,75.0993123897691,71.51419216128195,68.81863931310264,65.66718277755
Mean,282.8369751376756,176.62673127206492,146.5235226566256,133.88973320276955,124.58247238710237,117.85739643486721,113.0834607873137,108.29330756542177,99.94342162250736,96.01970054153377,93.82762228357248,89.5275769534304,85.43305941030543,83.4596089854369,80.48956556986587,77.4815064409233,74.09123487213961,71.1760874778632,68.66029126328964,65.79084475332688
