,mpd2,mpd4,mpd6,mpd8,mpd10,mpd12,mpd14,mpd16,mpd18,mpd20,mpd22,mpd24,mpd26,mpd28,mpd30,mpd32,mpd34,mpd36,mpd38,mpd40
0.5,11.760345785,29.122048280548416,44.97878122902753,116.46650930447669,141.73546386297807,148.70817149391806,168.28546028562195,186.90690025764474,182.91760800105592,196.74606173517148,208.82072848576027,217.38071594327846,218.83195602818915,220.70780206309172,230.572111242137,238.14690844667405,241.0285867876437,243.29206483267293,251.96926920240512,261.74487284423
1,14.602945769,40.37673238495,65.27520993466467,120.23813085063489,155.41032526549196,157.2520163104149,178.16504699448814,192.36785201067147,194.8582490207744,209.3070935094904,213.78922227097036,220.70811730178102,223.2313845824773,226.40809829164766,235.19997435027292,239.12703132380543,243.03731282313947,244.45972217334793,253.52401248920907,261.74487284423
1.5,16.7029366972,42.60233777430525,94.8646807429065,129.06042338738064,161.81544634484678,163.00463930302743,187.28462063835968,195.6477663323062,198.9872210026581,214.2314164660267,218.7040043165745,225.32074230658924,225.9502201350955,233.41219555547065,236.81397300813254,240.13435874998495,243.56804889825221,248.25095985265344,254.58140125169294,261.74487284423
2,16.7029366982,42.897503722867995,138.13342952565876,136.30397122194964,168.09250967564574,169.73508289891174,190.08876351518512,200.8884312660587,204.18902862007153,217.29781536600322,220.6802371522308,226.89377769515784,228.0298084772074,235.01183678445517,238.03872058922815,240.60181455981095,245.30000209872154,248.8252997390332,255.65187121754803,261.74487284423
2.5,24.375729424,44.2702565109809,145.830492610527,145.89705591980362,170.7088433122255,178.85060757378417,194.43494714025437,205.30425838271995,207.17272624121506,218.84317184222138,222.02866489509697,229.20851771404043,229.79970719406424,237.09619879555936,239.58470964342442,242.11377217235457,247.83612436468633,250.1235065723544,256.42457100182173,261.74487284423
5,26.0316332166,103.27291566659784,150.771551478935,180.494382061277,194.62693970326265,200.61191392100386,209.4146960432929,218.50092297260719,220.15075842147326,226.14680934715804,230.01624432337124,235.4139908433248,237.28080588363179,241.03514172601302,242.58561928853604,245.77600844088784,250.91609495904027,253.8169947998631,258.30962887899216,262.782785665759
10,32.7659953299,195.34522001246,164.7301729403403,200.4115401188593,210.6188990413928,220.3905452259103,223.9097796153157,230.1463623343983,231.58949102213361,234.7036637353953,239.68251072825709,244.383451678857,244.2447937847283,247.7220331505315,248.5590021927561,251.819806859177,254.4945735062798,256.89458899284597,260.7165621667407,263.235703303324
25,87.275600060075,214.91346590833749,234.585377082065,241.4236053486265,240.659202273006,244.97665813264126,248.5095749403265,252.507124787382,251.874870328906,253.2460502730615,253.46671413019575,257.4762316100865,256.5489162722628,259.9934169304257,259.1201262886935,261.24318833375025,262.0630911483105,263.4068199633935,265.095527431337,266.777146537709
75,360.7212000081,333.6317956179997,316.4764239101465,309.13399545256624,302.70426197497125,297.4659363885595,295.2256041016585,291.4051233811775,289.82832637276147,288.098438088756,284.53141353894546,285.7620894431045,283.0121251669395,281.7169936253023,279.67422137226527,278.97000056508125,277.76376317081576,276.51638842863724,274.52263873277695,273.424478782647
90,407.4393997242,363.591899821588,342.6708928778864,333.2604520327641,322.7955619419898,316.2934168776274,311.41911678425777,307.9847462486531,304.21834690405893,300.9702500662895,295.4832180811671,295.0604462044767,294.0834249317758,290.3547855114287,287.0864137529469,286.35542166679306,284.0321935152821,282.2097317430721,279.85095335660856,273.435644009313
97.5,426.3841998189,393.4074648779208,368.6419865194408,355.8498185758535,340.22645326340233,332.27619162954676,326.3500098448816,323.12548269797264,317.5448590433968,313.9348820927492,307.52222053662086,306.4858664603319,303.6815776230139,300.14406732416643,296.0862631602566,293.68161968921925,290.0989201417658,286.82488163126453,280.9086481956547,273.473160178701
98,426.3841998192,393.759299756786,372.732863110569,357.8396237429676,343.6630478087411,334.64945416261554,328.50604782173644,324.3182933051963,320.42159940935795,315.44529964742884,309.15193941458944,308.35602498030187,304.8645635320525,300.62134542499734,296.4628172822832,295.15422695293444,290.17325051289555,287.6319042137545,280.9221869074208,273.473160178701
98.5,426.384199821,409.12543313310675,374.6467695458795,360.2491643036996,345.43407864544673,337.2665402373289,330.82760744335786,325.3301073317869,321.9002606985283,318.7232540564173,310.95403370336805,309.4355480112598,306.10309274374447,302.59039146304605,296.9738575688204,296.1557723522151,290.60843073866897,287.6803356655723,280.9510852073358,273.473160178701
99,426.384199823202,409.1254331414555,378.79819169496557,361.55466665364713,349.58140585921706,339.94311759683944,335.01620483823285,330.0407285743524,326.38706426466695,321.1400895937381,312.80277116672477,310.0725106193429,308.45804432290225,303.40713734595505,298.38503978450177,298.7748133888432,291.3263530785137,288.096386838751,280.95596665374075,273.473160178701
99.5,426.384199823414,411.0218970796168,382.07983198663345,369.68141979639597,357.711230472776,345.3210617984961,338.709595715516,332.7096323868629,330.58939345220483,324.83790510611965,314.6548467570163,311.9548642959636,310.39889778064145,306.04778535570017,301.3296115412844,299.82962979394614,294.8490305403518,288.3954323226706,280.97291490208363,273.473160178701
Median,360.7211999889,287.53552705223353,277.6113323769,277.268071142052,275.30150798536647,274.141777082354,270.878478113715,274.1632038470865,272.13093999112004,272.15226494212595,270.380329684064,271.727464586681,271.89700888472146,271.6539309665335,269.46337312386254,270.32955838770704,270.5300412027955,270.39720308577,269.323231481785,270.212389501854
Mean,271.4221384048228,273.4958127214476,269.74753557194026,271.6652969975117,269.9913757544776,269.9577116599116,269.12619428945777,270.57694507486633,269.6260948002123,270.13368647459095,268.6934547113087,270.66501114988574,269.81434120302384,270.33718120409037,268.90896447085436,269.7645030463505,269.73216061426905,269.82377102182653,269.6420443840913,269.5678882805803
