,pd2,pd4,pd6,pd8,pd10,pd12,pd14,pd16,pd18,pd20,pd22,pd24,pd26,pd28,pd30,pd32,pd34,pd36,pd38,pd40
0.5,217.753642999821,250.119136067881,307.72913221298,483.79032758973,541.3350576816821,665.633394874981,736.1127478953359,820.64691471166,939.103743661641,972.0754100865249,1126.83772982951,1253.644120011144,1299.17149874443,1401.4759207249951,1536.04250047778,1575.8487949416951,1697.80070604767,1810.0597230133249,1922.83884362805,2121.0770083045
1,219.072272799,251.633654684058,326.076131561758,498.986748002132,592.066301212038,692.06116072616,755.79770855285,865.6773325075901,959.5509028193201,1003.95386283371,1169.03843817045,1289.0220106706222,1338.21108594562,1431.50453046658,1579.76999677257,1635.0297299481301,1719.76103725912,1856.7954518545,1950.4916163135001,2121.0770083045
1.5,219.4255864972515,254.00686755221201,373.818492375552,504.9031300309685,613.175630149055,705.5548671959031,805.49121013123,891.8904950878799,994.818015177355,1061.02475111207,1199.2683313509,1304.737902463155,1386.033069637422,1449.98527002353,1596.841449745465,1660.8401516920248,1750.662857037065,1887.55964872215,1993.053256526675,2121.0770083045
2,220.73298778104,259.33591925807997,424.20025320764,513.3481540109841,626.96168701498,717.52306055534,819.2738420854561,922.2757160106361,1018.635178315596,1087.24570826706,1232.3158844716602,1327.5354821593999,1423.169666323056,1479.79058846886,1628.2016897640399,1676.0777487056398,1779.9266343540999,1903.15188582638,2017.6873165537,2121.0770083045
2.5,220.8343989089,263.432170215125,444.6537952091,526.80819343638,640.08582419419,728.1007294198799,836.226123743455,939.512344830645,1032.66952987117,1107.83398309607,1240.1457712842,1335.490791046075,1439.022670586275,1499.746827945675,1640.23814900375,1694.397277524,1806.7309655461002,1913.421337105475,2020.177939291275,2145.9322083045
5,226.2079165111,286.36709723579,465.5264092836,580.48284805986,693.03819615167,791.54815492589,901.85829202789,987.7153598047599,1078.8715301113598,1191.90540842676,1290.9044424870099,1388.6463570372,1474.58155001045,1564.8664451765499,1690.8928539911099,1751.4215236229502,1861.1309540209002,1950.14806462205,2067.4272925881,2145.9322083045
10,229.575097572,418.89713860761,494.2262139502,645.04229374208,739.10145392814,844.72719266554,945.9369734796,1047.6843524664,1145.56156403,1261.01932633548,1365.6140548116,1455.64923034688,1535.1736655193,1627.2316998447,1738.4252032135998,1807.9410180897,1914.354523777,2009.9445837220999,2103.3058983842,2251.0469081845
25,256.829899938,450.336767497675,594.931155613125,722.122635378125,838.98543099375,966.163479727875,1061.31161694045,1171.5657614187,1268.9548220132,1364.6763285072,1466.274267626,1567.94051138425,1643.09653254,1742.07851235225,1839.922036466,1922.8692841710001,2023.56374826475,2084.79854231925,2192.331214032,2299.5090424645
75,393.5526999191,625.063824644575,817.8245184228999,946.7897871957,1077.402822599,1217.338785444825,1318.1834435854,1434.22882724875,1540.44917022645,1637.3843077507,1714.8173231287,1813.62920506255,1897.7828859627,1976.55787717545,2056.75093308075,2137.56838099395,2206.6715932654997,2260.851115539,2304.881265402,2326.9676353195
90,416.9117997412,716.16779964331,905.28321131631,1044.1258555306401,1193.85992334538,1337.3924531843,1443.67271276452,1559.5690807577002,1647.1035920066001,1757.33021243492,1820.3040046478,1911.35756955772,2006.3117751709801,2066.02882760988,2143.6864472323,2213.5778477193,2255.95552489902,2287.898139554,2313.5599679806,2329.6907891755
97.5,426.384199808705,785.609299647445,997.2293861941425,1161.1458787378224,1318.7920943809872,1459.880332394045,1568.27874643206,1668.623061601875,1771.89420488233,1858.38951413438,1962.6539427735752,2022.766303027625,2095.04232306073,2153.252505602225,2207.4690748289,2248.0728234919,2278.013722443975,2300.4137905654497,2318.9527689185497,2333.1799887045
98,426.384199809004,786.65419969758,1012.6061688266,1182.933977064992,1332.293778944854,1463.579541563116,1581.752561708904,1679.74557201802,1785.5023675474597,1874.7336518528239,1970.9309045402078,2029.6481877708,2106.77540459622,2157.43312171864,2211.42723646848,2249.12585398428,2279.75622756314,2302.3520217915,2319.5103027381797,2333.1799887045
98.5,426.3841998112,791.3373489413044,1018.0200708910314,1202.7569140780433,1349.988996659473,1477.0459830407815,1600.104616382358,1687.1879192510598,1821.39338951806,1880.6500881087718,1995.3173665934119,2041.8003806628299,2120.7098457154098,2162.374388424717,2216.9883801109218,2255.9788863475897,2281.431311947685,2302.99916833782,2320.981119685935,2333.1799887045
99,426.3841998112,810.464499627475,1026.5753242531,1208.71323952477,1365.7409585199377,1500.790730222388,1648.1813312081981,1712.372589911529,1830.610510901582,1907.886355722449,2016.477641639592,2060.1434958907,2128.99277171694,2179.54703618398,2225.64783727947,2264.82060314339,2284.34477026061,2304.63685863672,2323.61074387899,2333.1799887045
99.5,426.384199813,810.46449966143,1083.2270621473106,1269.3993506101383,1398.742782707341,1542.5378559722794,1684.436305190042,1749.7211973219898,1904.9648995769796,1943.0470155017858,2032.83782229851,2078.0400373482507,2149.437332354215,2203.7497589783993,2232.2941714100853,2269.24665944078,2286.4266399153603,2306.17118938981,2324.41230431654,2333.1799887045
Median,393.5526998791,541.6031997357,704.83756744525,841.3549646546,957.24149858275,1086.5557099827001,1183.9246356562,1304.5835551902,1414.408997712,1493.1379397239998,1589.2523890919,1688.8071300665001,1774.382335533,1852.8305803674,1951.0573767655,2033.639190299,2104.7223516165,2190.907215961,2273.6703534165,2324.7215562045
Mean,343.4795403811973,545.8951755984954,703.765243357228,837.7712225719155,963.6309178992705,1089.2106549249902,1191.2661415085431,1303.7531169471852,1404.5578189311782,1498.4526432817188,1591.358819991331,1686.9430501085562,1768.2404502829047,1851.4342535406602,1944.8829360051643,2020.1688192721626,2097.8630535929137,2162.1641866349164,2235.2864567185256,2301.356902427337
