,mntd2,mntd4,mntd6,mntd8,mntd10,mntd12,mntd14,mntd16,mntd18,mntd20,mntd22,mntd24,mntd26,mntd28,mntd30,mntd32,mntd34,mntd36,mntd38,mntd40,mntd42,mntd44,mntd46
0.5,14.60294577,24.079864347215253,29.004251515360934,31.6730537236305,34.24219776323975,45.09122665904604,38.27999536731631,40.65124164710666,42.25578562662654,42.883417700496096,45.595833351092665,45.22335887976502,44.59097991880331,45.56528497433788,40.77479585720763,42.8753822828423,43.62153302223183,43.348065661118646,42.24282110412983,45.36124749024906,44.165985090430254,44.84514251410674,46.288272734920156
1,16.7029366972,30.3512017282565,31.626353731934866,39.33345157310138,38.8591856099245,50.59616824498405,43.88179927967696,43.44506902477919,44.88160793584363,47.85046127395645,48.58123172066482,49.20459774823846,48.20606669089615,47.43759013778369,42.8588802117308,46.727813852717006,45.44568340476031,45.11554629671762,44.36377437638675,46.48894625411885,45.70304194060113,47.22193462891048,47.96261207135058
1.5,21.66878391,32.17675569132925,36.9961211634238,44.6374402323325,42.78999531170335,53.32667110827392,46.88013923187217,49.85974146798253,47.8769894604726,52.45738527353028,50.30570697513779,52.03269702713242,50.10468007284285,48.440981942651824,45.7630375795099,48.09360376676142,46.92004595473901,46.040611805184504,46.4882208923856,47.39738884836307,46.94980380809992,47.753246687655576,48.90271927647539
2,24.496530475615998,35.21519798013,40.07804906646003,47.506636007995745,47.3504465133154,54.130437223018,49.36424860425041,52.5495436994418,49.72077323711812,54.3649424437213,51.900998380751595,53.31484545587384,52.166369238778636,49.56805836191383,48.01141084064017,49.50559010219405,48.22647251027188,47.37644226191428,46.72914234106632,48.9022353489765,48.29306199084414,48.42140658255096,49.207955540062244
2.5,24.4989958042,36.51145921656625,43.928130873710806,49.63664530026937,51.16331735582625,55.08384793720518,53.01125988060231,53.682991238901145,50.69417426279735,55.509670746846375,53.885672511807186,54.07123417834173,53.23172177832753,51.12801843776551,49.910340577415546,50.17150814347755,48.997645898317245,48.3420942636361,48.86970330148782,49.80637223830475,48.73005793754597,48.91474259883442,49.597819140307436
5,31.356097128495016,51.99351978226875,63.28543110709166,66.44253974164937,59.2607514736505,63.00311811574795,59.03569442704074,61.64344698518281,57.583160254738914,59.988963428061496,58.83230202505979,58.76060191250649,57.85975698077964,55.34937610604677,53.223799823588365,55.30477915195782,53.37920019602572,52.09596321530111,52.61524207638208,53.689438261202,52.75030698256639,51.64710876297653,52.21256887885343
10,55.273799487649995,99.708399884485,77.33480618222504,75.22378251302625,72.114637629683,74.5861660638992,70.00734166142067,70.15246848892626,67.01213185983117,67.154145200412,66.26933155296817,64.45138665451123,64.5666663501592,61.03423395211355,58.8965084299383,60.85397011401286,57.0610659405994,57.47984283632163,56.92423544414631,57.0022367165085,56.42078582712263,54.9653983992771,54.94830268487736
25,166.4444000379,123.3665647494875,103.5526439649705,98.3457744995625,93.0670613628375,93.346492463125,88.18674712318216,84.78258568409535,80.15423908370835,79.86134400218374,77.34081981019088,76.46842478088543,73.81411426423465,69.71858097847769,68.5937693486692,68.76108772661875,65.8572112340596,64.67869553237293,63.330314678929575,62.27765848921875,62.017330022904744,60.05779681809487,59.852529157176626
75,360.7212000084,234.05366256315,180.3462773308165,161.511925164353,146.13220573289001,136.95570183961075,128.44501325143375,121.00872770853475,113.28882798922375,108.70991230455375,103.81637208401699,101.79365263625425,96.74420812731341,91.36772422079015,87.81269819240502,87.0860427464039,83.67368818690295,81.0122434361146,77.48358487699868,76.05593459130563,73.23960293500417,70.77580335097443,68.95532932953422
90,407.439399715,305.811099935825,219.78846549898302,189.52081696744,172.639546748149,157.7990702660955,148.40154539448918,136.47305832332208,127.7140214036975,121.4851302165375,114.03311843671051,112.83799715808699,106.6172248047212,100.33185953591459,97.02330778698767,94.11916591745529,90.2987537240259,86.96749136359192,83.56274928962478,81.25729161682926,77.79011826645262,75.59694283646459,73.39372256835198
