,pd2,pd4,pd6,pd8,pd10,pd12,pd14,pd16,pd18,pd20,pd22,pd24,pd26,pd28,pd30,pd32,pd34,pd36,pd38,pd40,pd42,pd44,pd46
0.5,218.9737047184,254.983668153549,321.536794403063,490.446555141499,574.4873254086094,640.377101721532,736.27550438685,839.328114461006,901.976852849126,968.9311766037799,1003.67401995688,1211.13618541149,1256.295097100902,1334.1074522932452,1419.8953559338602,1486.04997964721,1598.753117413365,1692.8527970333798,1751.3375047814102,1862.296712023275,1973.675182895545,2047.46894061615,2127.7725019176446
1,220.73787380219,267.087324709851,435.481928127098,505.54395687806397,600.6138734424529,694.33130989187,771.23181062423,863.471355673322,955.90876649244,1070.034145165692,1090.2159224660202,1240.32433253744,1304.0661047912802,1431.4131620981,1460.6220703957702,1539.87211950863,1667.06805079244,1731.76218558329,1811.38976159964,1882.46225248955,1986.4741404767,2082.61382883685,2188.68648854369
1.5,221.5355349719725,271.97159411082,447.947566651453,518.948266982282,620.473349555263,715.419328744112,821.095523844872,897.065904207025,1009.328356889558,1087.7909484624502,1140.119611274813,1260.737297126925,1327.11052673874,1468.532068079875,1484.4464642362,1585.0130282642301,1690.967218947625,1763.873720647965,1825.004840170845,1915.7900789950152,2007.4694723170799,2106.02077808619,2201.4444299031848
2,224.00130071953998,281.48852295494,458.45999779984396,554.786900793496,633.086349198004,727.9604142680801,843.923509190144,917.46237778,1019.3833047528,1100.43486945108,1152.531846074324,1279.81569187552,1345.39483892386,1474.4117548569,1499.18338751554,1626.75523049458,1702.54409894848,1781.31300835006,1856.81987396744,1941.98625260544,2020.4440873502201,2119.83364437778,2214.3778213954997
2.5,225.441597809,286.34293886076,462.72410994407,563.0766401926301,646.447272558675,752.41155388723,867.437817684915,931.503073288,1039.273180104075,1107.73310704005,1196.406281155175,1296.3389640109501,1375.317486065615,1483.90427741985,1515.5422270946951,1636.01962069365,1714.975443677125,1788.104788899125,1877.61719898845,1958.366496639125,2036.4080471452,2127.053098271475,2226.75091335945
5,226.4346655219,362.00756479276,478.90607809563,601.406592550245,691.9557652265399,795.38124354106,905.63535130884,981.93752843649,1080.40745131994,1164.64000604529,1244.4536986756,1339.93856167583,1421.05472491425,1526.11585237395,1574.0020042474,1697.5101469404,1756.76153386025,1845.5093729178002,1945.44910284435,2000.04558235995,2101.10412481455,2164.09228465715,2264.8116069482003
10,236.462300122,424.32868892862,527.87154906778,657.9001308233201,752.5269236415199,846.2155120086001,970.47842238106,1038.14328632336,1143.34571227628,1238.6459648296002,1335.07151454616,1411.2404904902,1504.9343762085,1585.1068915948001,1654.4957326211,1759.3438827875002,1825.2356984357,1924.3133182032202,1999.7428710101,2072.8381035431003,2165.4162777801002,2239.2336795957,2325.0953028266003
25,256.829899943,464.82739967820004,618.188358536325,741.52945549235,849.17356495515,950.921774064675,1071.2513476191,1160.5272765935001,1260.46632181955,1359.61421925825,1441.8876929527,1547.88490409175,1620.23268197175,1709.1703431543501,1785.92633772625,1877.2647087309501,1945.01709791025,2034.1132808835,2103.1517976355,2177.7644582109997,2254.744436957,2339.6500191585,2412.9734902715
75,393.5526999196,632.05069898545,808.586571760675,957.8504669999,1084.748375506825,1201.36646371545,1316.5435888774,1416.094401056475,1513.5578421508499,1632.2138043823502,1718.31890114725,1806.157559043,1892.29334298095,1956.0078792865502,2050.5093453179497,2119.25234140275,2179.3895728745,2265.8853702695,2340.45907854175,2404.69470473325,2466.28995375875,2520.38214101825,2589.84985816975
90,416.911799741,692.35749980101,896.36752800832,1054.34128688658,1186.8142131772101,1317.36854952899,1418.4297242907799,1534.14782233182,1648.90358020582,1743.8298713076,1833.1026165931798,1909.5809693123201,2002.0085303459,2075.8019371152,2162.3703410469,2223.3891376154997,2272.3015675364,2380.1598394455,2420.18727989358,2490.5169327144004,2533.8112615869,2585.2881656419004,2627.8943274114004
97.5,426.384199808705,785.6092996314,995.6580503189949,1152.41556179112,1317.6784029252751,1428.9730126078225,1518.0662185874448,1667.9689696534851,1776.4884022683198,1854.5009138175149,1976.7790933028675,2023.7556166747997,2129.51543376665,2169.9416347474253,2266.56033766142,2332.034486991625,2363.64296677875,2458.636690084525,2501.902990642025,2539.3071366316003,2587.56130377425,2621.7501305521,2646.2331387546
98,426.384199809,786.65419971356,1005.5829411512999,1160.7568110503998,1328.1584746712201,1446.373547796936,1530.5086610898,1674.20276979556,1789.478482849416,1861.014656008268,1990.984728221712,2037.9818213613598,2135.493518124724,2190.4780922216796,2275.72082674688,2343.558221877404,2371.3695142694396,2470.2001718806596,2514.65883498756,2547.7033404535,2592.6235949984,2625.6142961895002,2647.76721283438
