,mntd2,mntd4,mntd6,mntd8,mntd10,mntd12,mntd14,mntd16,mntd18,mntd20,mntd22
0.5,2.17823900000002,9.43816648934751,15.624210038142083,19.108785556419562,20.643114072055052,25.313107970934833,29.605229023412353,33.35584658178912,37.4303927806,49.97507516499,71.6269194643182
1,2.17823900000002,15.073130621775,20.1691777648662,19.985890430072377,23.0981965178531,29.821357709989385,37.07355770789593,37.66228871344763,43.73820391643334,50.943178268439,71.6269194643182
1.5,7.44147950000001,17.178684463242,21.0003115270147,21.051639277537124,28.314773032664498,32.7910897733227,39.8312554263834,39.193203632459095,44.83806110136043,52.3561051582,71.6269194643182
2,8.75599373900002,20.103737415048,21.334412472,24.92760353377525,31.453352919683603,35.89573886890734,40.91550445652026,39.9033633210677,46.29494964232908,52.476451417,71.6269194643182
2.5,9.15663805819997,22.3638575267525,24.387237001905387,27.486937251834064,35.087301694006,38.2086572628583,42.45126751932608,40.87919373259068,48.232282910019485,53.3327714621,71.6269194643182
5,15.284598,29.6522477043,31.536759857053298,40.2030064608975,45.555763743600004,46.089711024303334,46.18591208080642,46.723554775504375,54.771912967611065,57.65341152554,71.6269194643182
10,46.540400416,39.45314787005002,51.64529474073997,54.742286250107504,53.926635444104,52.5226810924675,52.85682728772003,55.21386941928,57.89112019783329,59.85181863955,71.6269194643182
25,58.3101998349,72.57164763425,81.16719217296671,73.13208865369376,68.9735638287375,69.6727009028083,67.49766406288575,66.19551038072188,66.58674117115,70.0095595061,71.6269194643182
75,360.7211999922,160.9464999233125,144.396541515058,122.31453538249724,110.667174740105,101.11160930854774,98.19737247719465,91.44548504492965,85.42102393038337,78.71604662181,71.6269194643182
90,360.72120000134,221.195249839,163.213065040813,147.6258534841325,132.53434636991602,118.1655330201939,107.47738309712771,97.40429371081942,88.8499199917889,81.7764088882,71.6269194643182
97.5,407.4393997122,266.6991494900756,202.61004482656298,175.4702357317984,149.23512796926724,128.42992602644634,113.71624628653282,103.33398880136805,92.58562929456501,82.6901494174,71.6269194643182
98,407.439399714,275.26234994035303,208.477624319064,177.24762490628999,152.295246608724,128.7016392969035,114.58949637485642,103.6896568374525,92.7875462091111,84.3061337382,71.6269194643182
98.5,407.4393997142,275.26234994210637,215.989133032139,177.52456042220484,153.30935116860135,129.500997648257,115.59888196052502,104.47976083382551,93.18250886596213,84.3061337382,71.6269194643182
99,407.439399715,276.4658125290802,220.81669973645535,183.69346922728315,155.7764602961479,133.26388376054342,116.57761149133265,104.833230432369,93.2655897646667,84.3061337382,71.6269194643182
99.5,407.43939971500697,276.94323122313335,234.01656040193785,184.08133859024073,158.03778014276625,134.64924292420866,117.33209097774,105.0113363199216,93.4244255607278,84.3061337382,71.6269194643182
Median,166.4444000379,121.140847621975,101.05988902105,98.67950462358749,93.57231241764501,86.08472339017916,81.1645277309143,78.5522716411875,77.77779772344999,77.287580702275,71.6269194643182
Mean,207.0673016939173,126.8033606284851,108.4508612917056,98.91054695972568,92.03591853413002,85.56125969453576,81.13048025208836,77.58206765007365,75.14820710780457,73.22869679593093,71.62691946431822
