,mpd2,mpd4,mpd6,mpd8,mpd10,mpd12,mpd14,mpd16,mpd18,mpd20,mpd22
0.5,1.42024199999997,30.921779765349218,44.015480119239534,48.087494612343846,70.36822935621582,104.22655946150148,113.75291467071764,136.76182881403554,155.08690725145817,171.13300498503,206.534243794572
1,2.17823900000002,36.04397044629687,47.02486137836056,54.92314730509135,76.02376979204548,106.51042546773539,134.11343696505372,138.36185589185405,156.19054765874225,171.338618943925,206.534243794572
1.5,7.362530892500007,40.383367799447306,47.639024101874995,58.0525680909964,79.03623331462813,117.78689000958637,135.77304047577363,140.43319754944065,158.16343071096745,171.938595271604,206.534243794572
2,7.44147950000001,41.1063311868667,49.6678877257,59.4139412283615,108.29433715174667,120.99205576586361,138.08886382927645,146.3952013291099,158.72638561240944,171.938595271604,206.534243794572
2.5,9.146621950219972,41.3427209699833,50.3534625947065,77.76740067627323,111.31125236652665,122.58430555308972,139.1603694919761,155.584311558312,158.8530252505396,175.819073380679,206.534243794572
5,10.982206,43.83630522281669,61.71054879519336,124.33551903860729,117.222977283334,147.1078131689677,148.52462922548855,165.305936776516,164.6079392569334,178.634847609832,206.534243794572
10,32.7659953301,50.12692161040664,98.52041091323464,133.041189531963,131.9972973000668,159.67722058874102,159.2021159110945,170.5898440047083,183.2746753405975,191.510186291542,206.534243794572
25,58.310199832,121.5263666201205,160.6452693117715,164.75571674108326,175.17566378852675,183.825577991227,184.73754667702627,192.546461817438,191.5760842595845,199.216280075983,206.534243794572
75,360.7211999922,268.413466449217,254.49256532439176,252.49738034455999,238.83547258176677,235.78840860954276,226.10274224834376,226.54558841348125,222.52448684233076,218.819287635918,206.534243794572
90,360.7212000006,328.191333305035,296.77670459868705,275.2324056791234,262.9782457454466,256.53943242092083,247.1557640648716,231.73037347725122,233.1983512885368,219.246104996847,206.534243794572
97.5,407.4393997122,348.8464330413375,319.3703750493058,298.75871681811634,284.54128106302534,271.68784210297804,257.16769670580123,248.78930980624025,233.6623282107178,219.36113189908087,206.534243794572
98,407.4393997122,351.70083319174,319.613626554307,300.8472256641443,285.5552356169495,272.174680948099,259.4886908706163,249.41959982659864,233.754485711735,219.361387844671,206.534243794572
98.5,407.4393997142,352.1019873878068,329.9990416613745,302.9845998187399,287.49237334888204,274.38892413103855,260.15653080538436,249.70335950530492,233.79605185357184,219.365377302466,206.534243794572
99,407.43939971420804,352.10198739176553,339.9565510532557,310.51802593500554,290.0727385519791,277.84046103834373,265.7729555556108,249.96743701002077,233.84575615672347,219.365377302566,206.534243794572
99.5,407.43939971500697,383.9298998248,341.92898827775747,311.8484567854759,295.55635197629886,284.9138367376509,267.9020447446263,250.07052817914786,233.89161386211097,219.365377302566,206.534243794572
Median,166.4444000379,209.00963318989199,223.55545285790652,209.622961395136,211.68472505827998,207.738947396272,211.356782580083,206.075068094817,211.1410620384565,210.630282304373,206.534243794572
Mean,205.81277504091432,203.091147164676,208.728860477454,207.21983270515304,203.3892099373257,207.45898367678333,206.55971798739932,206.2041847044971,207.42447093266372,206.41932980789034,206.53424379457195
