,pd2,pd4,pd6,pd8,pd10,pd12,pd14,pd16,pd18,pd20,pd22
0.5,204.429820872,236.096464892,269.209147731145,315.0585382302,425.550370577895,531.5106833549501,587.8323562921411,666.477477237745,791.9589115965,836.4619386242,1220.0910383242
1,204.429820872,238.54223832196,283.87774741209,330.55786272750004,479.35196234049,538.64077757745,619.12635802212,701.0727351793,815.04656193321,931.9456759142,1220.0910383242
1.5,204.808819372,244.243481514765,286.328020972675,341.17745559002,495.444448147635,546.2682605903419,634.4892816818971,713.3104010453,826.54387422225,933.1491385042,1220.0910383242
2,204.808819372,248.821136811,290.02402690566,356.023315467,497.68322640318,557.5775845337599,640.179956135,726.01013690638,839.4735408448,941.7123389542,1220.0910383242
2.5,207.374649124525,253.224396204325,293.16943347949996,377.36527913112496,499.67881274855,573.145893935575,643.255724555225,730.410098711475,849.9888327422,956.92935183945,1220.0910383242
5,208.298018901,261.600819034,309.39117922180003,470.35577874,541.24618428715,607.12191973266,703.4252115202501,773.0124666487,899.1185260042,1000.0019745242,1220.0910383242
10,220.102697543,276.894697198,376.40650678030005,491.65345863718005,578.2955802926,655.4252055607001,740.6608121961999,828.0994252252,930.1009961813,1015.6612175242,1220.0910383242
25,231.356599617,359.734799848,466.03063983625003,554.2154458777,653.57078460995,752.29324428745,821.49556837845,914.9973181142,999.1755901572,1119.2075898042,1220.0910383242
75,384.0802998682,497.6610623972,655.54226198645,751.0022815817,838.10346337645,945.2541052012,1019.28998576445,1098.1147767499501,1158.2775597437,1207.1612509462,1220.0910383242
90,384.0802998812,616.9550995633999,716.5480269545,830.2550567885,937.3458900503,1014.7633180317,1084.6058119297,1144.5898476481,1193.4207120742,1213.8898143242,1220.0910383242
97.5,407.439399678245,671.0221996902,820.1346996933,920.5182290138999,1016.137014619825,1067.62721351495,1135.4724537238,1181.6084154231748,1205.36326216515,1215.6601775742,1220.0910383242
98,407.43939968,672.2256622702,824.50139922228,925.31005949728,1020.0397066427599,1071.2040935951798,1139.5634824333201,1182.3293191817602,1205.7910777042,1215.6601775742,1220.0910383242
98.5,407.43939968,672.2256622762,870.0280718778699,930.993799452365,1027.12757028105,1077.82793063356,1146.30622207687,1184.180799882785,1206.2715019542,1215.69965187795,1220.0910383242
99,407.4393996802,767.7093995602,879.77196191431,938.6165136597599,1040.16706198666,1095.4231755292499,1151.91653633164,1184.8476797964,1208.4226979542,1218.2917978242,1220.0910383242
99.5,407.439399681,767.709399569205,886.0490151625249,962.824093000395,1059.057262091205,1106.382411329725,1159.55300527645,1188.332594204205,1209.3354819252,1218.2917978242,1220.0910383242
Median,286.941899898,440.87229952919995,540.4774972137,663.6597086667,757.7903472847,841.7305142297,913.9523220107001,1009.9771568627,1105.6818818147,1175.5536180442,1220.0910383242
Mean,306.918615052794,447.48728777436935,555.9059173366081,657.150577143028,752.1805487126657,838.6194333096089,916.0767814239422,998.3675339177698,1073.1493277433528,1143.956007276514,1220.0910383242003
