,mntd2,mntd4,mntd6,mntd8,mntd10,mntd12,mntd14,mntd16,mntd18,mntd20,mntd22,mntd24,mntd26,mntd28,mntd30,mntd32,mntd34,mntd36,mntd38,mntd40,mntd42
0.5,6.37629219,20.540883338960626,28.784711428332002,26.921172456883003,40.392520096169854,33.233477182270214,32.60581124069649,34.70789128994396,35.049431455241226,26.3745633746607,33.60755923972261,30.327895090217947,31.508465753850047,31.122299271451,31.77123115217785,29.741596547293536,31.367297088301893,33.68338650143753,33.98039486724557,36.055780872615,40.8449962915905
1,9.15663805819997,24.288048814534,31.9192664887904,31.93525233935075,47.549858944246296,37.3154916734982,36.269254570005074,42.74892975619944,37.99646036628983,36.0868088459013,36.75923434328941,38.14128278867133,34.534466712838416,33.276698368483274,33.8445166610273,33.260594969817205,33.80389520381438,35.16854754029545,34.706563642199356,37.59034801122725,40.8449962915905
1.5,14.577477722464998,26.387945573249127,35.661731138685,36.207682719896496,50.2361759467969,41.005669572872755,42.72103006784556,44.803481544193936,41.30309809635455,40.4280800074794,40.118421829397455,39.41009464662049,35.692272312248015,38.233751407409116,35.91791469107435,37.9910209949437,35.964398331659254,36.42449120699935,35.74587666317016,38.539070671939314,42.01082352975612
2,15.280736995724,28.000666742666,40.53031341350033,45.70825639950625,52.3203598923424,47.487780327426194,46.743285442313585,49.07660920383025,44.20398862733125,42.2143770153452,43.03481604555891,41.10412911558247,37.18641943015613,39.17408183116324,37.707882191032226,39.42859590569779,36.82287453415922,37.863091371407194,36.85022985275051,39.099840152845,42.0285772440429
2.5,15.839446,30.402827138912503,43.65896835325705,49.507067350005315,52.88831559577725,52.0533384574733,47.37444947214536,50.38842917918386,45.67281583241958,45.89189658093587,43.56795554926007,41.7104557314917,38.32553131018328,40.557962279672154,40.617183472481614,40.01405831879383,38.292518391052546,38.658491915433856,37.75415960043214,40.0411083929695,42.0285772440429
5,32.765995325700004,37.057405242455005,67.40513790130667,65.78768949304,63.835030299749,61.47225683682997,54.87652862188675,59.060594491508134,53.20848078620442,50.519914420753004,49.56092904115661,46.54936543360149,45.84645762880753,46.32648736315481,45.6823537360928,43.96081170966266,42.33821152987358,41.02222280596637,41.11153247178129,42.302558707633374,45.2679343811929
10,55.2737994867,86.849982018825,82.7713390250267,77.84036425712,72.87692107062,73.73807316640332,66.03188794489998,67.10853656971064,61.82251626914499,58.800901226918,56.77550984247042,54.24800985125997,52.650980562814254,51.83088138187999,51.34385577352267,48.97278150386594,46.47727605356558,45.90206994833998,44.38439040042372,44.11304944584675,47.0340391423786
25,87.2756000601,121.09934020166875,107.192709058592,104.83160631361599,97.018282908345,92.42003497448957,85.65347978566967,81.95235153043595,76.85924170751112,72.90768396843374,70.99037079064776,65.23767524145833,62.467279182312495,62.10918602222323,58.762135850392475,56.587569316810125,54.391264280824274,52.66137493088685,50.66327704636055,49.437354327121255,50.3664026855452
75,360.7212000126,224.4132496950875,197.308716496771,168.97524861456552,152.8256535356625,139.04217521592074,129.75872103641075,119.5057744512405,111.93384268524,105.1428425557525,97.70497038770907,91.06539521274165,87.04030577759517,83.62412633565535,78.27806440941421,75.18599889782814,70.37300704931394,66.93671051203265,61.08458694016315,57.5357840642625,51.6835537050905
90,407.439399811,306.8075647764076,230.14348917471642,200.9661821860558,179.17277597987103,159.3514021372853,148.15794157550252,138.6528056154564,128.1538765999847,117.1132975585975,110.0016731271661,102.51038462824,97.46999166217155,93.15360193782074,86.63513414680371,81.31092365251683,76.62352991696416,72.19808493467222,66.61639934867266,62.4051636675355,54.5906604103524
