,mpd2,mpd4,mpd6,mpd8,mpd10,mpd12,mpd14,mpd16,mpd18,mpd20,mpd22,mpd24,mpd26,mpd28,mpd30,mpd32,mpd34,mpd36,mpd38,mpd40,mpd42
0.5,6.37629219,40.79492649205313,57.18742762534473,123.32783854140604,134.30082493520905,147.76090022292283,167.02274655816828,170.21171697647964,183.03265928710036,191.3754356512456,197.70800320059917,210.94474265872398,220.2928664971638,221.38384031716396,230.0275218871797,233.22531329919153,242.35151951442919,245.04194763494004,254.20154342384157,258.09525484439763,267.702090080815
1,12.444523040582,41.5363793625002,82.5063864604185,128.99211268190186,147.21940949266724,158.7838197505799,182.95715951846543,180.19925985437763,187.78982759805962,198.85758467312115,210.11455815430617,216.66569829940863,225.57320869104242,229.7234445001933,232.43919906059088,238.34170146450506,245.02524410179547,248.92560012923767,255.320515038638,258.77182582005406,267.702090080815
1.5,14.60294577,42.64175598644055,88.5653753902143,134.68227114292645,163.6218671487454,170.20505860658804,187.6427332314571,188.89775876245173,195.5886432013908,205.57538236487727,214.39708425944124,223.59941012597793,228.69133979914724,230.7593434165636,235.12169537106362,241.79436014976037,246.44539259752287,251.47995702160856,257.0650571558271,259.5329511785862,267.702090080815
2,15.284598,42.8975037229,141.7757345126978,141.47192461276896,169.24412618114158,178.01436738555248,195.79730641677386,192.86007530264902,201.26598344430084,213.2166202841076,219.5826609812903,226.6374949982038,230.66864136156164,233.7298934740564,236.88932188672965,243.31368325820836,249.25177889960423,253.03535970047258,257.6040585981377,259.810380151646,267.702090080815
2.5,16.702936698174998,45.41482073955667,146.59653727333736,152.65497063251297,173.2642436321265,182.04797369083647,198.2038877195126,196.11074882268795,204.62772546579345,216.59677242978282,223.83613195367732,228.66029962605634,234.7613961301687,235.2519657806346,238.88633114089035,244.77949411882594,249.93378932386113,253.98664675260318,258.23349176221774,260.5642871810313,267.702090080815
5,32.76599532589,67.0927321154167,153.6033091560057,187.96600719756066,188.7863334196332,196.79097297896746,209.76442531720147,216.81297646062634,220.99311831737495,230.5015485507241,231.96887292255704,235.31418659491771,240.52883307315864,244.6264131199305,246.51402786700987,249.32989956042226,254.18129373344462,257.6678707533821,260.87533163198214,262.7011271281987,269.13774601411
10,55.2737994864,194.0427822423814,170.55722556254472,206.0854955751613,217.16508634201122,217.75456876593742,224.91119956981882,234.7330751287064,236.3890905370066,241.5054942526525,241.4587355884281,244.9563774290551,247.5182715967251,252.3617403695371,255.4535268906968,256.11118522671325,258.796708899692,261.4264064274987,263.7951812667359,266.4204477613446,269.155068200056
25,87.2756000603,219.170833320892,239.4851284316415,245.8650437789955,247.3217568097335,248.447351492504,252.132204258075,256.982304641841,256.6083394975842,260.15166139582425,258.031458958219,261.31908074678677,262.95456562166027,264.958117697594,265.749252771905,266.681321988813,266.10468768401876,268.43080343601974,270.1457465830413,270.186122244186,271.922941863623
75,376.673799764,334.958606245867,318.25880799237177,312.09612814241575,306.70578205656153,301.9591574642025,300.12015509342774,300.1576650905895,295.6007336952813,294.76981458133474,290.88135720315927,291.066989960541,289.45758253957973,288.360938887422,286.5551393560935,285.356123820752,283.674745586235,282.419864733315,281.2002163098595,279.4722819566155,278.646091428252
90,407.4393998052,364.30628656447976,347.32624330219363,334.6320514746126,328.292351210147,320.0482295356109,314.9985997597194,314.7435287584448,310.00952203864193,307.9301664701147,303.99068035148395,302.11477617690497,299.269770015416,298.4966508134136,294.26831925603074,292.7383801666495,290.6352977105883,288.33563566123905,286.9727814480911,284.9867813104171,278.697351693311
97.5,426.3841998179025,393.75929975538924,369.42631519353887,356.91063839919195,348.27948266928024,337.5637354745001,332.8713236338224,330.1057880098021,324.3157883151261,319.71357076546195,317.5912952996584,313.0745088608143,309.0795717556918,307.34890565846257,302.3805617835597,301.1286562260554,297.56365893087826,295.01682222011186,292.09993205473495,285.9022727787743,278.705277542434
98,426.3841998189,398.722841156618,373.14321286986865,358.7270127429198,350.4238849392814,339.6890368716934,337.5673464303124,332.1911658532488,324.73981908570045,321.77711488803527,319.0966909066895,313.8539068851984,311.2254531176549,308.47340967851613,303.422889460405,301.67463536596824,298.5937448037279,295.22107680828907,292.4995938516284,285.92556646851426,278.705277542434
98.5,426.3841998189,408.97503311186745,374.846159838893,361.42014734870077,352.3916284046736,342.43774238750945,339.0212345770869,334.347780452341,326.28014580596835,324.4663363534087,319.88713009217287,314.4487362888415,312.3821317135129,310.52694595089145,305.82042266296173,302.3142036356901,299.26709269231395,295.43043756733096,292.8440429926667,286.01422702581783,278.705277542434
99,426.3841998192,409.12543313914097,378.9891416954676,363.8643535629291,353.78528425696595,344.3118430587996,341.2359964095111,336.0860016055985,329.2863867021163,327.40823984048745,322.65440682348157,316.0438710666403,313.87293865721676,311.84980737349275,307.9010727464268,303.5391537649922,301.91872754189666,296.620433867164,293.21412082075904,286.0375100191698,278.705277542434
99.5,426.38419981920396,409.12543318372127,382.071359949004,365.6401916565943,355.61031727296483,347.33489211974694,344.9997602206577,339.56063400016205,332.1526434537521,331.39318538872317,326.44318105710545,317.2059939645099,315.2606058863934,315.0009716230562,309.2828173082547,304.9487631213033,303.3828353880915,299.64929666309314,293.26713207356767,286.04872589969676,278.705277542434
Median,360.7211999889,305.916544540175,287.1649698376065,280.735393701714,280.392721823942,275.83198668311604,276.070411032744,280.8676320256935,277.20947126804947,279.07075396711605,275.017536333104,276.21602232939597,277.3902114083455,276.0725971043455,276.5435766195885,276.130578669886,275.388027497587,276.4303070035955,275.524343382445,275.73987469498354,277.721810394784
