,pd2,pd4,pd6,pd8,pd10,pd12,pd14,pd16,pd18,pd20,pd22,pd24,pd26,pd28,pd30,pd32,pd34,pd36,pd38,pd40,pd42
0.5,217.6715079212,257.41836308421404,291.83421360308,476.0522980085745,524.034538422727,638.242909090645,739.155039402636,864.4043075560461,970.192788566475,1068.32800255904,1096.348975386375,1221.91187659262,1322.6515931581598,1376.512472380855,1463.0040772606,1549.6212067118952,1620.318636233795,1700.265823905065,1818.1477132627651,1883.29605847775,2041.2407716833
1,219.642501198009,261.41946594255,392.84860311259,496.80702931002,551.352023596388,697.874839036616,764.0397698812201,903.4555270868001,993.91669451103,1122.62989511198,1139.6097585815,1260.87085348428,1363.09669670624,1395.1039278399999,1480.68008064437,1584.65385339603,1663.39719448471,1726.7254542705,1831.7652743818,1916.34959717559,2041.2407716833
1.5,220.7378738022,265.55775470460696,436.702598077857,508.159137077273,566.0285169723679,726.396845045025,796.057465078155,920.384023004789,1025.4306524415651,1138.398910799157,1171.838947669055,1272.573373084095,1370.352760969145,1422.305858565705,1494.557988571705,1592.8846820449899,1681.3993636320852,1752.243443868785,1843.38549824665,1939.893812985075,2041.2407716833
2,221.5435682582,270.227813922804,450.390610631156,521.51763822278,599.0074405592,740.45053165712,805.28210037772,940.86365968544,1040.74890626304,1148.456083264396,1214.98771167922,1301.89610853272,1386.59248322794,1449.10679165796,1520.22514549168,1606.90166812998,1694.43794621228,1800.53727624448,1859.2900006328998,1962.8869817401,2041.2407716833
2.5,225.441597809,271.660582787425,455.91999755225004,531.1862615244225,634.548137460025,764.347856789005,821.9833817129501,961.4273790823501,1047.65284495367,1167.99004306667,1223.885373779755,1339.1894186315,1411.7830329498752,1460.638514858425,1558.898693873775,1616.019979873075,1723.80480229665,1809.5521013861999,1888.98825907855,1981.6615271795501,2066.0959716833
5,229.5750975699,290.41821296891004,474.04876565495,563.269335748835,696.25003894645,807.98682566302,891.8644581997501,997.60862060416,1108.8887183737602,1225.3731178572,1283.07607890235,1382.5239111522,1459.6373671545,1543.8854231952,1617.3125738949,1679.87707602815,1769.5121946878498,1843.13930856995,1924.5056027833,2025.99131464255,2134.1224715833
10,240.8289996472,413.67057572059997,506.25649761967,640.55571221258,757.7411993544999,880.439469163,979.0092058521,1074.3717920529,1175.54373864711,1273.40443680822,1354.3809930753,1442.4293173614,1529.4005361135,1587.0694926026,1675.5904225603,1735.8339147696001,1827.9487911334002,1908.3856498303,1991.6294186914001,2048.5908559704003,2171.2106715633
25,256.8298999392,446.4806757569,620.04374559315,727.29216681715,866.1117054523,987.44595318305,1082.19252731375,1178.35555397355,1292.0176470695,1389.8603863568,1458.5081288855501,1550.66159449975,1627.46017114455,1698.8132713948,1772.6150669405502,1831.05580462105,1921.79070062005,1992.8504514523001,2043.81280664105,2126.67806028155,2241.4170549733
75,401.52899981355,626.427499671825,819.2513039514249,956.914770935075,1093.1306725311251,1211.867071447225,1331.9306769755,1450.3974326703,1532.09281202305,1639.03732530195,1708.7426926805501,1795.80094469805,1862.5339982037501,1923.328152223625,1982.5914542895,2058.2546491743,2108.7343559713,2181.4614379198,2215.03918868255,2235.62443465455,2250.8050895833
90,416.911799838,702.1999997974,895.7799790950901,1055.6166534259,1204.5146536775399,1325.22648713662,1465.7531713666801,1541.8861653889999,1644.1615125531,1737.0978527353,1806.8364897309,1894.7927816224,1953.6120454543,2013.5040443396001,2070.9362634582,2119.1169734788,2176.7032916152,2206.8855253249,2226.0961170437004,2241.2938221125996,2253.2097395833
97.5,426.384199808005,785.6092996746,1007.0982132326948,1174.7391716806549,1362.2599373398398,1444.1232250124774,1582.4478205880973,1657.80550966587,1738.3216902304698,1842.567010713605,1914.5715831411248,1980.1146264719398,2048.136408157775,2121.480741278355,2155.7110339029,2176.383322190975,2198.116884115895,2217.139458286775,2233.74779909795,2245.3966027133,2253.4023815833
98,426.384199808902,785.609299747644,1024.153403224936,1187.243118902426,1384.911882859602,1461.263088142104,1599.7890834932,1671.175315496422,1760.0443670490379,1859.99672910432,1922.2226212258317,2003.613612161256,2051.510349808624,2125.6156993566,2158.03425334414,2179.5450327588997,2199.4244921161,2217.97120761806,2234.8325823933,2245.72760443592,2253.4023815833
98.5,426.3841998092195,786.65419976638,1042.533725073713,1210.20677517895,1389.7244261587437,1483.3442943961152,1618.3037080629833,1684.997597356425,1781.7116289693965,1870.984062699075,1936.425488642865,2017.6194376436981,2060.16195834434,2132.5982561924548,2163.15266766251,2181.6186802863454,2201.16186902374,2218.771555718235,2235.9604362923346,2246.5240655553653,2253.4023815833
99,426.384199812092,795.08169973831,1065.032899267131,1238.22182247528,1408.6359594644998,1514.6882880819678,1631.293329982844,1713.973324043029,1801.219961470517,1884.96424963514,1961.539584879598,2031.47716413058,2069.901093018528,2140.12099895291,2164.4473882324,2183.09688898337,2203.42962339919,2219.350472939,2236.5310198283,2247.7005686683,2253.4023815833
