,mpd2,mpd4,mpd6,mpd8,mpd10,mpd12,mpd14,mpd16,mpd18,mpd20,mpd26,mpd32,mpd36,mpd38,mpd40,mpd42
0.5,11.567206769,31.21531529624825,45.04382715931,134.05426107035987,75.56127853709505,176.6847794560361,199.19260115063855,210.2654708723365,213.47879081703874,225.71072462779873,237.93913313636742,254.98622039697773,256.59528283186796,262.84687402155436,265.68080291290954,266.9604103933767
1,15.0915477852,32.431732561055966,47.10842270986383,149.8835244721863,78.71511722461148,195.98880136831332,206.1454349073754,217.42962576644013,222.4424376507898,234.59834198128013,245.52639038565817,258.0392667011169,262.47998332132687,264.69867019926687,267.832771378117,268.6447819030145
1.5,15.397777478048999,39.9184930867333,48.1900311991378,181.00406160668274,109.54262339568807,205.17185566363358,217.97121588040903,230.21781930222335,230.77286127491732,238.10343968493856,250.162182688128,262.0787663970669,263.9214267513053,266.6293746192849,269.9036128619572,269.7535228646947
2,16.685666883255998,41.339049125777635,50.4159158098733,190.38237631311878,111.78342454293822,207.9383678515378,220.9741395234669,234.36755568290252,234.36650503658768,240.676858197009,253.295757300312,264.00986968832007,266.39171163414323,267.75280809072547,271.0624110922012,271.02983375106476
2.5,24.49591414372,42.20179463436039,51.606084643691666,196.83488604470034,117.25675352788828,216.1573448731686,225.06378616077032,235.92468305526037,240.31229372086625,241.97194154035918,255.31239390307408,265.2274902853346,268.44441991626394,269.6556711726876,272.2099449032675,273.0047436393754
5,32.76599532609,47.1564028254667,79.94537099310836,214.53820897484687,131.48608814433155,235.38033865972844,241.92953140976098,247.71835536452235,253.28788249297006,252.78893059356744,264.74975592077124,269.41518840183977,272.9689806182427,273.4462753681599,275.87379506766683,278.0442528238132
10,55.27379948709,53.0406989691667,147.29016121621302,239.84159404947002,162.04259233706773,249.4130185177653,254.8770805570481,257.38565382757577,262.6285103168675,264.3063807111878,271.4955771336226,275.1021944816525,278.19118217397147,278.70318760250126,280.2547319738608,281.06410788460494
25,237.7907998077,200.31130616515,163.1562157806585,267.5892056479985,185.69355276856126,274.248087498219,276.29999074955526,277.0778534706972,280.8953238878282,282.11085357975077,283.1402857019745,285.3613971341368,285.91614442867024,286.2376739454718,287.0631901186045,287.42778231714897
75,376.6737998092,309.662899879517,264.99686290823354,325.79985012366103,249.83424053206724,315.9279257749775,313.91656380296354,312.55634420892824,311.74242473131125,310.601874995535,307.23311091397926,303.8140538899145,302.35627123963724,301.55841636385026,301.551422511898,300.82087273853676
90,407.4393998142,333.172399764967,309.90276454561763,345.04921217134864,273.03806592835167,331.8420328910338,327.7975268207665,325.1586217684249,324.8934108559494,321.256456339708,316.1726709275279,311.5856461595586,309.53086154438483,306.8394686661693,307.1866533712545,306.10297286892177
97.5,426.3841998122,368.5470998719225,333.04044077567914,363.21195016532704,296.91399747446843,349.13908584112204,339.8514400350824,338.6740309043702,336.7623224365963,331.71509601465937,325.4215560180793,318.7705330608928,317.2192316322517,314.54090670047884,312.05722712474716,311.11779116417
98,426.384199814902,383.929899821802,335.16883348194,365.6250349669665,298.4176533086995,352.7221869768794,340.85994492407383,339.9022051507907,337.7617701471452,334.3714738587378,326.5657706466983,319.6248926214504,318.0991980691606,315.08010271801857,312.7253327270997,312.0223305123707
98.5,426.3841998189015,383.92989982280676,336.42332515277457,367.5822575609845,306.9759990735309,355.31920918882594,342.91882521383417,344.8668730955536,339.60090543890544,336.1841254937731,327.4072042469721,320.30199031869637,318.6531351040266,315.77683719803343,313.80858919217525,312.2813572639559
99,426.384199819218,383.92989982480697,340.44675347952335,372.0730593993395,307.41539410837066,357.6006178443366,343.7485389330251,346.7947135549595,342.02004633470244,337.6624115637966,329.5968489946292,322.34240339119714,320.7395637143006,317.2285333359697,315.3425027611802,313.25648060870105
99.5,426.3841998312,389.3978331196023,360.327066492873,377.7299276361863,309.90270426343164,360.16287241317184,347.09505523179416,350.6562779214935,344.39484551565164,339.3359444337787,332.3410190109434,324.4284477258399,322.2017030824121,318.19003717274666,316.297227923163,316.8015256042491
Median,360.7211999921,222.780134182825,236.41802876044,297.420873925348,225.4514722874345,296.8495452334705,297.1985216705615,296.907051145635,296.26590005831497,296.781636350042,295.9551592348315,295.130224286774,295.02091915908,294.137253882472,294.5630738637285,294.219005201144
Mean,292.3785515896878,219.19055408159056,217.65396580949047,293.50061921488344,217.79010740561364,292.9933382617337,293.1775822526196,293.52567137140187,294.7237217510181,294.4459701012312,294.5320707126533,294.11441205691904,294.12150315432405,293.4768662070936,294.0734369387563,293.74882960006573
