,pd2,pd4,pd6,pd8,pd10,pd12,pd14,pd16,pd18,pd20,pd26,pd32,pd36,pd38,pd40,pd42
0.5,217.5626773021835,239.031727422,265.02549630690504,511.96142110734246,455.35452210739504,719.5870441774215,785.0537097307256,881.020445706994,989.8684900035995,1084.504144253181,1349.352970583816,1529.4731880937466,1681.48776609387,1747.947109948205,1829.9050068326287,1932.285776744236
1,220.482946734357,240.41818897,274.79817192864,547.9706444447211,494.87487943434996,744.753635724263,838.6221300312479,908.8976809466981,1030.5499723483829,1122.3486628618339,1400.12995766955,1558.328025040623,1701.3565187500199,1801.14742891255,1896.991001544282,1961.82043838914
1.5,225.061532631675,243.86637211822,286.82477415198497,576.414079187894,505.419559639115,771.1853657360684,846.472920617037,970.941703145719,1052.145132647928,1136.9233240685955,1418.6065883237202,1606.537777522462,1760.3954504427652,1841.29426159126,1929.588827503798,1983.028475622275
2,225.441597809,249.318205886,289.610528756,585.663761163916,522.8278700698199,786.034755821996,861.104654355656,988.712102702552,1065.627829183534,1149.119183758894,1429.450084009716,1626.518723590854,1796.9173178580759,1856.170170174476,1949.2890553543798,2000.2983886987802
2.5,226.2079165111,252.317916315,294.82095761299996,593.69087494523,529.75523037882,800.6881964771601,873.1809081505425,1015.141413918175,1081.8335151684025,1168.7947084277273,1443.20031572578,1651.4086459066075,1836.720653659495,1861.97710409435,1970.4593735419749,2016.189105604325
5,229.5750975717,261.221820538,324.84242225035,647.5461940933201,566.1508727405101,838.9377828323101,946.095361146885,1069.798588104625,1140.71212469236,1231.550018198625,1502.170662070825,1736.8821107648,1904.552772562465,1940.74780279589,2026.92706129094,2113.970595094655
10,240.8289996479,272.51436400840004,403.3057570015,697.5808652105001,613.9516898858,907.76958651739,1018.2544139868301,1132.3434115496,1223.6159733045,1291.35358130457,1564.78551561825,1803.8746017509,1962.535770754,2016.5767127036002,2087.45190202312,2184.3192849401003
25,332.0874998089,413.9455207662,480.80524669395,783.9547134368,711.3407027047999,1016.4084282125,1125.521615272925,1249.01553395605,1347.05210379045,1428.14797012745,1687.5827169835002,1927.2307499368999,2077.3889805352,2129.65924794565,2206.786194560275,2271.05244316045
75,401.5289998092,580.3590637512,668.4802999032,1012.2988672412,914.78284327095,1288.0129253209,1403.36866738925,1511.649872053925,1597.981912641975,1686.9896906578251,1934.1363239540499,2150.420692719925,2278.46885933445,2341.0311129474503,2377.8841804149497,2426.8119915571997
90,416.911799842,616.9550995692,798.5130920674001,1115.66486286668,975.4562494907001,1408.39768221439,1507.99808278576,1617.2541851149301,1708.41094183478,1806.21724172783,2038.5025124355,2241.9607005960997,2349.2576722136,2412.8625075712303,2450.6368029698,2484.4483911458997
97.5,426.3841997992,752.3265996522,848.9297994992,1222.4257142483975,1096.1160041898002,1522.6241450577274,1639.7222661634676,1727.9028177077673,1827.2347794674874,1926.0775487896176,2141.325877241155,2323.413769456445,2423.165693723795,2471.1631026672003,2509.17543809475,2544.6458014409727
98,426.384199802,767.7093995462,863.18569941022,1233.625367013198,1112.5067191841,1544.9892418476818,1658.6715332802896,1742.973603423634,1846.299562388634,1941.214997546756,2157.780767191206,2332.45758799993,2429.834047110436,2473.98790972162,2519.8055772357957,2550.3998004189343
98.5,426.384199803,767.709399551215,867.3071076364499,1248.8224604442985,1120.7949651422,1557.048545850162,1701.5813502118344,1778.7021834375175,1871.8056344384,1953.7621769334794,2182.292374471825,2343.912566159251,2438.5488194805403,2482.1915984419747,2521.970280711973,2554.752362478145
99,426.3841998112,767.70939955222,880.1709744930998,1289.609652977517,1129.96186302249,1574.5836485686389,1740.5872014478,1795.9890178189228,1897.857556326105,1986.769710305768,2194.695117267158,2363.2050764387486,2444.8089591780977,2498.8212440748302,2533.18094430814,2560.385023665377
99.5,426.3841998412,776.136899551205,894.9245218604497,1314.1722009020468,1139.9099186522,1610.2969717269893,1770.624896285422,1839.441709695009,1958.8663720996426,2007.013807834227,2226.3609040423935,2375.5830832810047,2459.3566207672434,2514.824498911745,2542.8204104003667,2581.1867849128903
Median,393.552699905,442.882818007,615.6518961557,892.66708415705,793.4726923747,1162.9152180547999,1265.1487917257,1374.64906705315,1485.8617036272499,1553.27726177925,1818.7978744688498,2037.2395927991001,2178.3029768057,2240.5959541947,2297.5794960186004,2357.0160856642
Mean,360.9744317751832,461.54066165762106,585.1376751311532,901.1934195394143,809.8816039465963,1157.5835789374025,1263.391310224864,1375.4119328943743,1474.5446828408249,1555.8119966927302,1809.2407953801765,2028.9390087333793,2166.6806399428033,2223.3425093875194,2283.2387733525466,2340.869429394576
