"","name"
"1","Anniella_pulchra"
"2","Anniella_stebbinsi"
"3","Arizona_elegans"
"4","Aspidoscelis_hyperythrus"
"5","Aspidoscelis_tigris"
"6","Callisaurus_draconoides"
"7","Charina_umbratica"
"8","Coleonyx_variegatus"
"9","Coluber_constrictor"
"10","Crotalus_atrox"
"11","Crotalus_cerastes"
"12","Crotalus_oreganus"
"13","Crotalus_ruber"
"14","Crotalus_scutulatus"
"15","Crotaphytus_bicinctores"
"16","Crotaphytus_vestigium"
"17","Diadophis_punctatus"
"18","Dipsosaurus_dorsalis"
"19","Elgaria_multicarinata"
"20","Gambelia_copeii"
"21","Gambelia_sila"
"22","Gambelia_wislizenii"
"23","Hypsiglena_ochrorhynchus"
"24","Lampropeltis_californiae"
"25","Lampropeltis_zonata"
"26","Masticophis_flagellum"
"27","Masticophis_lateralis"
"28","Petrosaurus_mearnsi"
"29","Phrynosoma_blainvillii"
"30","Phrynosoma_coronatum"
"31","Phrynosoma_platyrhinos"
"32","Phyllodactylus_xanti"
"33","Phyllorhynchus_decurtatus"
"34","Pituophis_catenifer"
"35","Plestiodon_gilberti"
"36","Plestiodon_skiltonianus"
"37","Rena_humilis"
"38","Rhinocheilus_lecontei"
"39","Salvadora_hexalepis"
"40","Sceloporus_graciosus"
"41","Sceloporus_magister"
"42","Sceloporus_occidentalis"
"43","Sceloporus_orcutti"
"44","Sceloporus_uniformis"
"45","Sonora_occipitalis"
"46","Tantilla_planiceps"
"47","Thamnophis_atratus"
"48","Thamnophis_elegans"
"49","Thamnophis_hammondii"
"50","Thamnophis_sirtalis"
"51","Trimorphodon_biscutatus"
"52","Urosaurus_graciosus"
"53","Urosaurus_nigricaudus"
"54","Uta_stansburiana"
"55","Xantusia_henshawi"
"56","Xantusia_vigilis"
"57","Xantusia_wigginsi"
