"","x"
"1","Anniella pulchra"
"2","Apalone spinifera"
"3","Arizona elegans"
"4","Aspidoscelis hyperythrus"
"5","Aspidoscelis tigris"
"6","Callisaurus draconoides"
"7","Charina umbratica"
"8","Coleonyx switaki"
"9","Coleonyx variegatus"
"10","Coluber constrictor"
"11","Crotalus atrox"
"12","Crotalus cerastes"
"13","Crotalus cerberus"
"14","Crotalus molossus"
"15","Crotalus pyrrhus"
"16","Crotalus ruber"
"17","Crotalus scutulatus"
"18","Crotaphytus bicinctores"
"19","Crotaphytus vestigium"
"20","Diadophis punctatus"
"21","Dipsosaurus dorsalis"
"22","Elgaria multicarinata"
"23","Gambelia wislizenii"
"24","Gopherus agassizii"
"25","Gopherus morafkai"
"26","Heloderma suspectum"
"27","Hypsiglena chlorophaea"
"28","Hypsiglena ochrorhynchus"
"29","Kinosternon flavescens"
"30","Kinosternon sonoriense"
"31","Lampropeltis californiae"
"32","Lampropeltis zonata"
"33","Lichanura orcutti"
"34","Masticophis flagellum"
"35","Masticophis lateralis"
"36","Micruroides euryxanthus"
"37","Nerodia fasciata"
"38","Petrosaurus mearnsi"
"39","Phrynosoma blainvillii"
"40","Phrynosoma coronatum"
"41","Phrynosoma goodei"
"42","Phrynosoma mcallii"
"43","Phrynosoma platyrhinos"
"44","Phyllodactylus nocticolus"
"45","Phyllodactylus xanti"
"46","Phyllorhynchus decurtatus"
"47","Pituophis catenifer"
"48","Plestiodon gilberti"
"49","Plestiodon skiltonianus"
"50","Rena humilis"
"51","Rhinocheilus lecontei"
"52","Salvadora hexalepis"
"53","Sauromalus ater"
"54","Sceloporus graciosus"
"55","Sceloporus magister"
"56","Sceloporus occidentalis"
"57","Sceloporus orcutti"
"58","Sceloporus uniformis"
"59","Sonora cincta"
"60","Sonora occipitalis"
"61","Sonora semiannulata"
"62","Tantilla planiceps"
"63","Thamnophis elegans"
"64","Thamnophis hammondii"
"65","Thamnophis marcianus"
"66","Trimorphodon biscutatus"
"67","Trimorphodon lambda"
"68","Trimorphodon lyrophanes"
"69","Uma inornata"
"70","Uma notata"
"71","Uma scoparia"
"72","Urosaurus graciosus"
"73","Urosaurus nigricaudus"
"74","Urosaurus ornatus"
"75","Uta stansburiana"
"76","Xantusia gracilis"
"77","Xantusia henshawi"
"78","Xantusia vigilis"
"79","Xantusia wigginsi"
