,mpd2,mpd4,mpd6,mpd8,mpd10,mpd12,mpd14,mpd16,mpd18,mpd20,mpd22,mpd24,mpd26,mpd28,mpd30,mpd32,mpd34,mpd36,mpd38,mpd40,mpd42,mpd44,mpd46
0.5,7.436216112500009,42.6420641530723,64.49816268248362,151.11522511680766,183.4793181214574,188.80011371983286,207.89378437216675,212.97084965847984,220.04959396229364,220.76855363768968,229.35756682360736,241.1542453577104,242.63758140944262,250.67554172973897,249.2445709258029,252.2082796687463,254.83291412141713,253.37913296987747,257.2329155437128,262.81091318445334,262.72542533762856,260.76902322241546,266.61266394865623
1,11.75841439484,57.0234889258642,119.1367967479004,181.29390860784505,195.9100156397736,199.8087807748481,223.619154717679,215.85221125064945,230.59891829339423,234.81495734112698,240.1629904703404,244.52237225931967,246.2991741864618,254.3422772014714,253.09045670824645,260.15992483930296,260.60834885369144,256.54307035324115,261.4158474872685,266.86432578823013,266.64484423520526,265.8345163832019,271.6548486019764
1.5,16.683385162896,58.9739870113167,152.4149089573451,186.39376472547693,202.81342545544203,215.72203868427883,225.95978758413926,227.41360313176315,234.14572490041743,239.239488098372,244.4126437971236,248.80022573410548,250.54384283030763,257.164791714726,257.22880493937845,261.35798733107225,261.1028304748869,260.09389265205016,263.6468078893647,268.30146062742006,268.3218066331197,267.5078807740669,272.9278115063399
2,18.79124636,70.45590920229603,159.94133544528705,190.51996597035284,204.61159881857063,222.12915938974234,229.90033782767225,232.4649487609106,237.881426958021,245.71959200676642,249.84706094284516,250.4807630994378,252.85781491403094,259.1293353879807,259.576709916536,263.87764118535983,262.93787926305095,261.70402726110626,265.30125884898985,269.20910177012996,269.7153909356028,269.8284117151314,273.8515767725237
2.5,26.0316332165,106.99115284582385,161.0098553941413,194.17758459886596,213.03734077307732,225.50704925805678,232.36102307084477,235.94945383050813,239.91262858406222,249.96575508888188,252.89520478237552,252.59400784675964,255.8921158560801,261.27210998705743,261.3545618004639,265.36267949148134,264.66156990017777,264.1685189555324,266.4854006483824,269.88676512702295,271.21603427672994,271.66098601821676,276.0072635835561
5,32.7659953297,202.29080946264165,180.540413812439,213.51055682426906,226.72978515009115,237.7825286933045,240.27769762437995,248.8856670102929,248.3648020565437,257.7654299877281,260.7313663644525,259.6085435957084,262.10753180750555,266.9591781960867,267.89099134126116,272.52854623244787,270.99458567968964,270.97264740723193,272.5149625647107,274.28177951776723,276.0121431896657,277.1099302599017,279.3486676405229
10,55.2737994884,212.0171351390267,230.0687381939357,234.3729340690659,244.2072404174933,255.12489581741752,257.2445624818613,260.1035552474256,260.7592025724076,267.0143525413136,270.8726315004335,269.1383660665836,271.4063832265324,273.3665045433838,275.064252144053,277.777463844321,277.0450424455946,277.95592662220344,278.8148122897396,280.4715568565913,280.8590209581941,281.5961383060458,283.0588948527464
25,168.851325212,258.6644182832085,262.71374020852824,266.821697347932,272.365644338479,277.30912884422474,278.9172523162098,279.17330905134327,279.96038909888273,282.2265418706862,284.34502197029377,284.41608619884005,284.7712108588625,285.078101271091,285.931529414085,288.06141211624777,286.951201195956,287.83600557052023,287.991147533054,288.309373050403,288.3693230982552,289.99463293071426,289.19774038428824
75,384.3651998162,347.97843323933296,333.80391198774674,326.2119986688542,321.15801671125274,319.85431351113573,314.6479037569455,315.2276660581938,312.75628119640976,312.62332173458424,310.9144205257127,310.6683071876185,309.3073257525642,308.32078332015675,308.23902750447996,307.9231107456965,306.5892229890025,307.1774651712525,306.028529633968,304.33102046418423,304.43064401688827,303.6332104960545,303.50161353529995
90,426.3841997922,373.06429988291296,356.04403577798774,346.24388552707,340.844158861494,336.9952814284487,329.31803817762494,329.77704971197994,324.0282600711479,324.30935125827455,320.6106940437477,320.6779440604463,318.2829158447371,317.5779569230383,316.1884297953891,316.7861848713162,314.5539659751828,313.86584269489845,312.1070671345108,309.8919920791921,311.1772051149498,310.1356970642973,308.56792148138936
97.5,426.3841998224,409.12543313925255,378.11552305248296,362.5758629508689,358.2483937429952,350.5582301338871,344.36310469752965,342.04693316856356,337.817142749987,336.4380652168806,331.4137424945791,330.84124997548724,327.7996855269792,325.71350867505697,325.6772219816066,325.9884331543193,323.1809696659148,320.552199245561,319.44658768845034,318.27502431502194,317.685960622668,316.09690481927015,314.2021813590979
98,426.3841998232,409.125433173602,380.02786651900533,364.3790241847677,359.74994729523615,351.9952487230902,345.7990343754431,345.0017430457128,338.6542308765777,338.38495194052354,332.37293648120345,333.3110581412348,328.9038199033699,326.6548661983991,326.80791377037616,326.3315940806044,323.71166825361746,321.32358482434535,320.0798974697088,319.4464705579337,318.24455801079336,316.46858386655,314.96184445694144
98.5,426.384199826275,409.12543318406574,382.05299205055996,365.54816596687414,362.3166409587951,354.1461117818824,349.02803759208064,347.56610451974166,340.60908142953406,339.6557671517748,333.26474429667104,334.26147570385945,332.2396549138431,328.2454397600776,328.7642908066762,326.9723796556728,324.5319908056309,322.3544450827038,320.652229057395,320.28955257747003,319.28326704043945,317.1637446261313,315.925372738409
99,426.3841998313,409.12543319371554,383.83992069399534,368.13735663999535,364.0992421409149,358.92323963824066,351.28612395773575,349.8396362128159,342.9400217659489,340.8171944922489,334.5972716820094,336.3454909355345,335.37542098347706,329.5240944728729,330.2042485765971,328.8626312368985,325.3223234001798,323.8601587094381,321.6697897633799,321.4143277053721,319.99790632932854,318.34364040814364,317.4585395365025
