,mntd2,mntd4,mntd6,mntd8,mntd10,mntd12,mntd14,mntd16,mntd18,mntd20,mntd22,mntd24,mntd26,mntd28,mntd30,mntd32,mntd34,mntd36,mntd38,mntd40,mntd42,mntd44
0.5,5.77948238481048,20.3143712383615,32.824122803832715,36.22595898914463,39.830830531562555,37.3091644165482,39.00821880942631,36.806688902808595,42.691421343969864,40.3476720326984,38.88851040668782,33.87766959744561,33.05449055246551,34.565601856421004,34.1588280652728,33.25756852543412,31.06723968387849,33.02884118746826,31.245416934457626,34.34502505098482,35.7244049217119,44.5813592609091
1,8.95881600000001,29.524044826195,36.55055563929667,41.0873045429245,49.3400726616604,43.865684529561534,46.426136638697834,43.48998432174313,46.37210041910142,44.802193101741494,42.00958679551383,36.99190465619955,34.53267428006451,37.70610053871527,37.8360514872652,35.65044933050797,34.26103762179263,33.852826786610784,32.20729595600063,34.9600882695529,35.919950269864536,44.5813592609091
1.5,11.567206769,33.413738905844504,42.165760888213,51.33030415919112,51.245491492263554,52.75327662129982,48.71183432784223,44.29423175312709,48.903211180119115,46.28552820811448,43.9725922488574,41.09106900656463,37.743059230194824,38.71451644094217,39.1458019035585,36.49506331280505,35.14827882567861,35.76026326711962,33.85797486989386,35.591051409601015,35.9713104700223,44.5813592609091
2,15.0915477862,37.604694176658,45.666995769825,53.89448095022325,54.1814773972944,52.97650159506103,50.87297324172747,46.17536466057755,51.065496862831466,49.412764213579706,45.14816184895333,43.71245121275261,40.97800951643887,39.2133859999348,39.63094598351383,38.503828518116585,36.93612561451138,36.30048874094916,34.7943758828585,36.28398985683605,36.2045871891429,44.5813592609091
2.5,15.284598,42.179706954001254,50.91216343413503,57.503496831165315,59.853930926128,54.878242105682055,54.05899802169628,51.297156485923956,52.697147137136355,50.2249120745865,46.80442309428691,45.230591327292636,41.60190884048409,41.61064134438699,40.26147074384217,38.76081659556784,37.54177259347132,37.4070375287263,35.296264643415114,36.911572063972066,36.333955091815554,44.5813592609091
5,26.0316332166,65.036497625345,72.6957951717083,67.10126299072938,71.0246886165335,66.67663088606126,62.3496503627039,57.96726255616563,60.059037039869686,56.47161318384525,53.29952057181618,48.54410585339646,44.843798483369625,45.58530328057925,44.112718119465136,42.03876215534748,40.378307233973715,39.93021628896421,38.62149387671274,38.29021761662212,40.598501373225496,44.5813592609091
10,40.08490509883009,111.61436444415,89.25671743433337,81.39097328263625,83.860278848768,77.23873265372838,70.50407366878497,68.64274910738129,66.71031517732447,62.4812614861145,59.779611332552754,54.238499446094195,51.43606137341038,51.06550441415682,48.980073456545,46.1232363956388,44.164528377919744,43.35525661257948,41.61850528205396,41.72832934526625,42.91609072391429,44.5813592609091
25,168.851325212,135.2783975736875,125.81251902793724,109.50681023468749,104.42009445115,99.38072189583127,91.6261886864286,86.98448502024692,80.14770772613055,75.56038068453125,70.91328362683862,66.34133520677295,61.60181474561155,59.588870759368774,56.20369060260248,52.7614226498797,51.08568777270365,48.25438238702292,46.73800436182037,45.674385798881254,45.1482308745238,44.5813592609091
75,376.67379981505,264.5606625678625,209.207402201908,178.74139127165625,160.7820651966275,145.27276660702324,133.02578858973925,123.2310776702965,112.27641220140251,105.18755657016125,98.52870916510906,92.59613795379373,83.46000965591448,78.8085216753759,74.16615897772833,68.8411878805328,64.89252306348533,60.69260063568962,56.943442740574376,52.750254943924375,47.7107914420548,44.5813592609091
90,407.439399812,366.39909974371,245.67662694940338,213.7788045612675,184.84388820231203,164.764228422052,150.9066613151947,140.8281138573285,126.53541157288561,118.1944224304715,109.37801184413239,102.6427228284097,92.81077225634806,86.98693244976215,81.73214744858804,76.24603167880817,70.80036455225559,66.32188234351922,60.715942684706285,56.334084712350005,53.6610823854905,44.5813592609091
97.5,426.384199818705,381.1250999041319,287.3632790637225,253.06224379328015,214.07457841418474,187.2191160750422,168.19283211667593,161.21022775674834,142.44149089447205,130.95042529238276,120.58233341269536,112.97389052195882,102.72208933002996,95.88993212817483,88.96833998452857,82.57815397008544,77.72323951022459,71.44845877962204,66.68067170132582,59.3453399491188,54.8177445738095,44.5813592609091
98,426.38419981921595,388.374323806431,295.11423631584756,258.9372686355655,219.660362782676,188.77413476365228,172.222373083134,162.84848950289185,144.04988960645778,133.6770663334089,122.51924677009329,114.07436656612798,104.72055503320331,96.98007667045113,90.32485869372164,83.7401128055315,78.93411059814792,72.54957554743433,67.12174542180483,59.9844263655586,54.821270228397594,44.5813592609091
98.5,426.384199822215,388.816499906559,326.20258307096174,265.32999823514837,222.79260688035185,193.6249206792904,174.15587038914327,163.90182105045477,146.66305156747592,135.1237138323421,123.56558300889284,116.3635548319703,105.97519405407239,98.04237681318612,91.65956636924888,84.57416822252782,79.8166254860532,73.17561922598183,67.32572393620947,60.54255558455316,54.9940273032143,44.5813592609091
99,426.384199823202,388.8732789132822,330.86848088814463,274.67225260275274,226.45590035328377,198.2790181625315,180.48539017053986,167.13525466021056,149.83180228967672,138.3579231305286,125.9134185428127,117.60459547484871,108.54466056979672,98.8702656419259,95.5632385435616,86.1731983429693,80.19437946535369,73.54271839174079,67.75707378183517,61.20818278592277,55.34840276931677,44.5813592609091
99.5,426.3841998262,396.7927997727027,338.3281645194312,278.4121435605741,235.43824480490758,208.2579171900892,184.62189036124352,172.2313201802399,157.49406909984046,140.83443505563275,128.94136154119354,118.12714972770169,110.54668706545881,100.02970512500804,97.37444792146475,87.88525707819092,81.74621538134954,74.49161272143135,69.76352247813622,63.23448121850282,56.2410608850952,44.5813592609091
Median,360.7211999947,207.54629966975,163.86141295306697,144.922109850637,134.31841542936002,123.42870782640401,110.472542672732,104.2789853579,96.49913153074439,89.87614552600499,83.72718604483634,78.7449140487146,73.5126646812596,69.64841139926075,65.810348565545,60.422973170279704,58.28550903480145,54.32798950343475,50.97919800217235,48.11356313832751,46.1609093894929,44.5813592609091
Mean,288.2303983916817,208.01662142923516,167.79451001123596,146.43172994678795,134.04142262680975,121.8998668215106,111.6320721191218,104.71842640101072,96.60996426470699,90.43594171935882,84.32053037713303,78.99746621387068,72.70342488075153,69.25963099425626,65.34978432343934,60.80382012007947,57.881248150926325,54.43294259842005,51.424903969553746,48.7185289458113,46.755610514413405,44.581359260909124
