,pd2,pd4,pd6,pd8,pd10,pd12,pd14,pd16,pd18,pd20,pd22,pd24,pd26,pd28,pd30,pd32,pd34,pd36,pd38,pd40,pd42,pd44
0.5,217.76992437694602,261.790316341896,414.22377991769,497.34113378478,600.563909367285,689.274981731015,870.57990800761,953.8902828589349,1053.302245161295,1131.968393607575,1237.630031554356,1314.25715973835,1463.6136242505,1505.707939164525,1574.21108537194,1647.826948158765,1744.43915186503,1852.27041568426,1881.98689451535,1991.42250596109,2091.8570595833,2339.8092252233
1,218.9757033,270.425526100418,454.797241402964,511.18367416839,618.700513449832,764.53940292247,907.7263278712,977.83590149084,1082.91372959863,1179.8269009105,1276.04936705038,1326.9177729977241,1498.26981234737,1545.12540478598,1631.42441890219,1691.97768915656,1802.9856022116599,1869.40976548926,1920.3820529636,2013.1140943219,2105.2279358233,2339.8092252233
1.5,220.737873802185,286.216294939597,466.379894566892,532.4275274102815,672.8192750184201,776.7625972726499,928.1099848956401,1000.44909126327,1102.047420046105,1207.67018507151,1309.78648809172,1345.8178022671718,1525.229696084585,1557.53691511068,1646.9352529360651,1721.898066425365,1818.699522680495,1881.620743553205,1947.819319679445,2020.29677440935,2108.9248907083,2339.8092252233
2,220.8343989089,292.07192477058004,474.026402470288,567.811071201254,693.4012805341599,798.38096355294,934.5069198116,1020.56086863822,1123.27269038546,1227.92687592398,1333.5976015553558,1369.4863257939,1531.81162159166,1568.752180953416,1663.55101791438,1738.86117911864,1830.0946079701598,1902.8203212016401,1959.2575934514,2029.98518460128,2114.6722633267,2339.8092252233
2.5,225.3733431457575,300.84979734604497,478.90871140852255,585.22655137535,702.2970627291,825.621951142195,944.4639262796001,1038.9250420846,1139.59453821372,1253.092920439675,1349.97759943995,1402.2056900546252,1542.9222993333,1581.70115933785,1676.03961074965,1751.7398756671498,1843.367547420125,1913.6118950185,1974.9450240959,2044.7264542496998,2118.239428108025,2339.8092252233
5,229.5750975699,417.469256406795,495.389692116405,654.888248722705,765.86575393924,885.30594143117,981.0527768378901,1094.5036644343002,1206.31841199524,1300.2198509885,1420.1439892884598,1486.2395761729001,1579.41991795895,1649.09249546864,1726.16176948985,1806.1544775115,1878.8304437569,1946.4001764465002,2021.60964705125,2083.4354732693,2196.9156697233,2339.8092252233
10,235.775255457,436.6568772512,571.8918373007101,701.32491345893,836.044897531,941.58699281299,1055.31304878562,1161.7558811997,1260.2811428328,1370.08386729549,1467.3627908997,1546.4498690883,1636.6139824179,1702.6259865905,1789.6720915283,1863.1766131141,1927.430373111,2000.1407969385,2060.5015686542997,2132.3863944722,2246.6040652923,2339.8092252233
25,297.6177625122,498.797549714225,657.921692393825,811.327982806175,944.4654692495,1068.16366582805,1166.56962633915,1285.7165946033,1373.81948265705,1472.41831939205,1569.8377202223,1669.2966847753,1733.33419224605,1800.097931366,1889.03837443855,1952.33370593905,2016.99259697455,2062.66016256955,2150.8910100417997,2230.2387019615503,2292.9576596790503,2339.8092252233
75,401.5289998212,646.9713495384,854.63892222755,1035.1733105609499,1170.448655807,1313.0611614747,1417.259451363225,1526.845015384075,1617.8347123640501,1717.19560761175,1804.3275905135001,1882.37109979305,1944.70173832055,2020.39103190855,2075.7037124560497,2134.0511415148,2187.12596652105,2227.2275912443,2267.60583628705,2297.8414491788,2323.5380338743,2339.8092252233
90,416.91179983891,777.1817997097,958.5149994703,1128.43561342875,1262.03694882078,1411.65499697792,1518.60783646518,1637.20143901026,1713.6139080151002,1803.29881772886,1891.82688246532,1973.74208027184,2029.285604128,2084.4590315375003,2138.3018076941,2180.5735237258,2221.8702724176,2251.7715306500004,2285.2453639754,2308.9179233699997,2329.1923613533,2339.8092252233
