,mntd2,mntd4,mntd6,mntd8,mntd10,mntd12,mntd14,mntd16,mntd18,mntd20,mntd22,mntd24
0.5,2.17444901500002,17.95351159969525,28.3531250884536,30.095859540956376,39.0038982348668,33.01552480177987,47.36342887901801,41.52620273639097,35.15538462864868,50.45198746225717,53.32800059855356,80.8566036545
1,2.17823900000002,24.6188779652545,33.1022670478768,36.6335520393425,42.290429184973,42.006713644239305,49.28304528469876,44.05712154032725,43.872672010397835,52.2746723350969,54.7302676394545,80.8566036545
1.5,8.75599373900002,29.4500482247975,37.34874379775795,43.92707735255331,44.01487424895095,46.287832624773124,50.699246735222424,48.64007852707369,52.0290723259639,55.4463598970132,62.1215767260455,80.8566036545
2,9.15663805819997,32.9743188588215,41.80345735253433,49.53241495280375,47.1456753768018,50.1907495621305,54.2785134706419,51.1765654634557,53.857881734655365,57.3223541480408,62.9000494943182,80.8566036545
2.5,9.15663805820003,35.961699331453126,47.079295487610864,52.908512446112816,51.791240067804004,53.31511223213066,55.23612279495716,54.83880817366844,54.77502449248932,58.02572245496613,63.5200130851364,80.8566036545
5,32.765995329860004,46.7404384074725,64.0266989644817,62.441098257434376,58.974677475331,59.2740498264925,62.24707905866147,60.36019570195339,61.37661670706974,63.215752185,68.8264560192727,80.8566036545
10,55.2737994871,83.74404153074,77.84876315268997,74.01308613035876,68.736628080372,70.61087536589164,68.62628661441644,68.43106760734942,69.62204788520947,70.228692992209,70.2248923783636,80.8566036545
25,87.2756000576,120.3739777404375,98.60744331641249,96.3075184267625,91.099239715355,87.54915138435624,85.03224210471427,83.58698930521405,81.55958704553888,78.57554065280125,79.7807741858636,80.8566036545
75,360.7211999992,212.68443562319376,165.588066445225,150.10534715710952,135.7203553003525,128.20709542609376,118.47033797839799,113.221922814909,104.715475247875,99.5250476294625,91.7531476291364,80.8566036545
90,376.67379981191,268.774412553445,199.17108774217647,175.3726599843975,156.349828740287,144.8934319946589,132.6810403054781,124.4902565386308,113.5750630309457,104.581673796385,95.3286463971454,80.8566036545
97.5,407.4393997119,364.258149872405,237.983199868348,200.05560384848275,177.26520064552,160.99050470789342,147.38555062836284,134.34813250380586,121.98601392176339,110.04037996918912,98.9414671205,80.8566036545
98,407.439399712004,371.9495498435765,251.22645292121123,206.37476679826943,179.19185328132318,163.6620820994605,147.88306617579786,135.5364289856025,122.66775604822566,110.270778609315,98.9414671207273,80.8566036545
98.5,407.439399712227,371.9495498484,262.71291601969745,210.39160263601053,183.0184026954755,167.4183853773445,148.73960699660924,137.6181066129357,124.93915291840659,110.68815797316151,98.96773224248841,80.8566036545
99,407.439399715,376.3888998695015,270.083982144818,218.3638587983811,191.0505341385615,169.88174399497714,150.00396338887978,139.06476922128894,126.30551848241817,110.98261585968939,100.69247523813827,80.8566036545
99.5,407.4393997162,376.388899874005,283.9121416275895,227.87970515472023,196.1998508669543,172.65165789336456,151.19649277963063,140.41286380106365,127.4808517144454,114.23962801302675,100.692475238364,80.8566036545
Median,360.72119998815003,148.11244875195,131.7803260132835,123.6586485519375,111.53254256099,107.9570606984835,101.36618427135349,98.9384622891625,92.8365997459861,90.49389143202,87.3489687277636,80.8566036545
Mean,256.31490618098815,166.75147788240372,134.3872959073304,123.8766453330946,112.69870248485071,107.43812081690818,101.49914413551126,97.51653521657133,92.21403265588357,88.44029124581532,84.86151975092751,80.85660365449999
